지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
768,곡성,2022-06-01 00:00,16.6,0,0,0,998.7,1010.5,63
768,곡성,2022-06-01 01:00,15.7,320.1,.6,0,998.4,1010.2,66
768,곡성,2022-06-01 02:00,15.6,318.7,1.1,0,998.4,1010.2,67
768,곡성,2022-06-01 03:00,15.4,311.5,1.6,0,997.9,1009.7,70
768,곡성,2022-06-01 04:00,14.5,218.3,.5,0,997.8,1009.6,76
768,곡성,2022-06-01 05:00,14.5,0,.4,0,998,1009.8,79
768,곡성,2022-06-01 06:00,14.5,0,0,0,997.8,1009.6,79
768,곡성,2022-06-01 07:00,16.2,37.1,1.7,0,997.5,1009.3,76
768,곡성,2022-06-01 08:00,18,41.9,1.9,0,997.6,1009.3,73
768,곡성,2022-06-01 09:00,21.1,92.9,.9,0,997.1,1008.7,54
768,곡성,2022-06-01 10:00,24,46.8,1.6,0,996.3,1007.7,48
768,곡성,2022-06-01 11:00,27.6,74.4,1.1,0,995.7,1007,35
768,곡성,2022-06-01 12:00,30.1,124.7,2.1,0,994.7,1005.9,26
768,곡성,2022-06-01 13:00,30.6,181.9,3.3,0,994.1,1005.3,20
768,곡성,2022-06-01 14:00,31.1,171.6,3.9,0,993.4,1004.5,16
768,곡성,2022-06-01 15:00,31.9,176.2,3,0,992.7,1003.8,16
768,곡성,2022-06-01 16:00,31,187.4,3.8,0,992.3,1003.4,18
768,곡성,2022-06-01 17:00,30.2,195.7,3.5,0,992,1003.1,20
768,곡성,2022-06-01 18:00,28.1,189,4,0,992.3,1003.5,27
768,곡성,2022-06-01 19:00,25.1,208.9,1.6,0,993,1004.4,35
768,곡성,2022-06-01 20:00,23.5,233.2,1.8,0,993.7,1005.1,39
768,곡성,2022-06-01 21:00,22.4,262.8,2,0,994.8,1006.2,48
768,곡성,2022-06-01 22:00,18.5,20.7,.5,0,995,1006.6,60
768,곡성,2022-06-01 23:00,16.9,230.7,.6,0,995.4,1007.1,68
768,곡성,2022-06-02 00:00,15,0,.1,0,995.6,1007.4,74
768,곡성,2022-06-02 01:00,14.4,333.4,.7,0,996.2,1008,79
768,곡성,2022-06-02 02:00,13.3,0,.4,0,996.1,1008,86
768,곡성,2022-06-02 03:00,12.9,11.7,.6,0,996.4,1008.3,88
768,곡성,2022-06-02 04:00,11.9,311.8,.7,0,996.6,1008.6,90
768,곡성,2022-06-02 05:00,11.3,0,0,0,996.9,1008.9,93
768,곡성,2022-06-02 06:00,12.1,0,.3,0,997.1,1009.1,90
768,곡성,2022-06-02 07:00,14.4,161.5,.7,0,997.5,1009.3,81
768,곡성,2022-06-02 08:00,17.2,173.8,1.2,0,997.6,1009.3,72
768,곡성,2022-06-02 09:00,19.8,86.7,1.4,0,997.4,1009,64
768,곡성,2022-06-02 10:00,23.4,79.2,1.7,0,997,1008.4,55
768,곡성,2022-06-02 11:00,25.6,64.6,1.8,0,996.5,1007.9,48
768,곡성,2022-06-02 12:00,28.6,339.5,3.2,0,996,1007.2,35
768,곡성,2022-06-02 13:00,29,262.4,2.7,0,995.8,1007,33
768,곡성,2022-06-02 14:00,29.7,277.1,2.2,0,995.4,1006.5,35
768,곡성,2022-06-02 15:00,30.8,241.5,2.5,0,995.1,1006.3,36
768,곡성,2022-06-02 16:00,30.4,277.4,1.8,0,995,1006.2,38
768,곡성,2022-06-02 17:00,30.1,255.9,2.3,0,994.8,1006,40
768,곡성,2022-06-02 18:00,29.3,308.3,1.5,0,994.6,1005.8,40
768,곡성,2022-06-02 19:00,26.3,314.6,.5,0,995.2,1006.5,50
768,곡성,2022-06-02 20:00,25,314,1.8,0,996.1,1007.5,59
768,곡성,2022-06-02 21:00,23.5,345.9,2,0,996.9,1008.3,69
768,곡성,2022-06-02 22:00,21.6,316,1,0,997.7,1009.2,76
768,곡성,2022-06-02 23:00,20,308.7,1.3,0,997.8,1009.4,83
768,곡성,2022-06-03 00:00,19.5,0,.4,0,998.1,1009.7,86
768,곡성,2022-06-03 01:00,19.5,312.3,.8,0,998.1,1009.7,86
768,곡성,2022-06-03 02:00,18.7,311,1.9,0,998.2,1009.8,91
768,곡성,2022-06-03 03:00,18.4,0,0,0,998,1009.6,91
768,곡성,2022-06-03 04:00,16.9,285.6,.7,0,997.7,1009.4,94
768,곡성,2022-06-03 05:00,16.4,305.3,1.5,0,998.3,1010.1,95
768,곡성,2022-06-03 06:00,16.1,0,.4,0,998.6,1010.4,96
768,곡성,2022-06-03 07:00,18.9,0,.1,0,998.7,1010.3,87
768,곡성,2022-06-03 08:00,21,74.4,.7,0,998.7,1010.3,79
768,곡성,2022-06-03 09:00,22.2,37.6,1.8,0,998.9,1010.4,72
768,곡성,2022-06-03 10:00,24.7,181.4,2,0,998.7,1010,63
768,곡성,2022-06-03 11:00,28.8,72.9,1.7,0,998.3,1009.5,42
768,곡성,2022-06-03 12:00,31.5,59.9,1.6,0,998,1009.2,29
768,곡성,2022-06-03 13:00,32.7,79.7,1.7,0,997.5,1008.6,30
768,곡성,2022-06-03 14:00,32.5,196.7,3.3,0,996.9,1008,33
768,곡성,2022-06-03 15:00,33.1,168.3,3.1,0,996.6,1007.7,29
768,곡성,2022-06-03 16:00,31.1,168.9,4.8,0,996.6,1007.8,38
768,곡성,2022-06-03 17:00,29.9,178.4,4.1,0,996.8,1008,43
768,곡성,2022-06-03 18:00,28.2,181.2,4.2,0,997.2,1008.4,47
768,곡성,2022-06-03 19:00,26.1,176.3,3.5,0,998.2,1009.6,51
768,곡성,2022-06-03 20:00,23.9,182.2,3.3,0,999.3,1010.7,58
768,곡성,2022-06-03 21:00,22.6,190.3,3.2,0,999.8,1011.3,63
768,곡성,2022-06-03 22:00,20.9,191.2,1.2,0,1000.4,1012,66
768,곡성,2022-06-03 23:00,19.5,202.5,.7,0,1000.3,1011.9,70
768,곡성,2022-06-04 00:00,18.4,280.5,.5,0,1000.2,1011.9,74
768,곡성,2022-06-04 01:00,17.4,0,.3,0,1000.5,1012.2,78
768,곡성,2022-06-04 02:00,17.4,233.1,.7,0,1000.6,1012.3,79
768,곡성,2022-06-04 03:00,17.2,161.6,.6,0,1001,1012.8,81
768,곡성,2022-06-04 04:00,16,198.5,.5,0,1001.1,1012.9,87
768,곡성,2022-06-04 05:00,14.9,0,.1,0,1001.1,1013,90
768,곡성,2022-06-04 06:00,16,186.8,1.1,0,1001,1012.8,87
768,곡성,2022-06-04 07:00,17.6,83.4,.6,0,1001.4,1013.1,82
768,곡성,2022-06-04 08:00,21,42.3,.9,0,1000.9,1012.5,66
768,곡성,2022-06-04 09:00,24.9,96.4,1.6,0,1000.9,1012.4,48
768,곡성,2022-06-04 10:00,27.4,121.5,2.1,0,1000.4,1011.7,40
768,곡성,2022-06-04 11:00,27.8,161,3,0,999.8,1011.1,39
768,곡성,2022-06-04 12:00,29.1,159.5,3.5,0,999.3,1010.5,34
768,곡성,2022-06-04 13:00,30.7,153.4,3.2,0,998.7,1009.9,31
768,곡성,2022-06-04 14:00,29.6,185.3,4.4,0,998.2,1009.4,35
768,곡성,2022-06-04 15:00,29.5,158.2,3.1,0,997.8,1009,34
768,곡성,2022-06-04 16:00,28.7,164.1,3.1,0,997.5,1008.7,35
768,곡성,2022-06-04 17:00,28.7,171.1,3.1,0,996.7,1007.9,32
768,곡성,2022-06-04 18:00,27.6,144,2.7,0,996.5,1007.8,28
768,곡성,2022-06-04 19:00,26.5,179.3,2,0,996.8,1008.1,31
768,곡성,2022-06-04 20:00,22.5,229.7,.6,0,996.9,1008.4,41
768,곡성,2022-06-04 21:00,22,169.8,.6,0,997.4,1008.9,42
768,곡성,2022-06-04 22:00,23.3,163.9,1.8,0,997,1008.4,41
768,곡성,2022-06-04 23:00,22.3,175.6,1.2,0,997.1,1008.6,44
768,곡성,2022-06-05 00:00,22,186.2,1,0,996.6,1008.1,47
768,곡성,2022-06-05 01:00,22.7,135.8,2.4,0,996,1007.4,44
768,곡성,2022-06-05 02:00,22.3,150.8,1.9,0,995.3,1006.8,47
768,곡성,2022-06-05 03:00,21.7,99.6,1.6,0,995,1006.5,50
768,곡성,2022-06-05 04:00,21.3,159.3,2.1,0,995.2,1006.7,54
768,곡성,2022-06-05 05:00,17.5,230.7,2.8,1,994.9,1006.6,85
768,곡성,2022-06-05 06:00,17.1,262,1.7,4.5,994.1,1005.8,92
768,곡성,2022-06-05 07:00,17.1,313.3,.9,.5,993.8,1005.5,96
768,곡성,2022-06-05 08:00,17.8,156.3,2.9,0,993.7,1005.3,82
768,곡성,2022-06-05 09:00,17,202.1,1.3,1.5,993.2,1004.9,90
768,곡성,2022-06-05 10:00,17.4,185.6,1.9,1.5,992.9,1004.5,89
768,곡성,2022-06-05 11:00,18.1,217.9,.6,0,992.3,1003.9,88
768,곡성,2022-06-05 12:00,18.4,143.1,2.4,.5,991.9,1003.5,86
768,곡성,2022-06-05 13:00,17.8,147.6,1.6,.5,991.1,1002.7,87
768,곡성,2022-06-05 14:00,17.3,324,2.3,1.5,990.1,1001.7,95
768,곡성,2022-06-05 15:00,17.2,324.6,2.5,4,989.5,1001.1,97
768,곡성,2022-06-05 16:00,16.8,322.9,2.1,3.5,989.3,1000.9,98
768,곡성,2022-06-05 17:00,16.7,321.6,2,6,989,1000.6,98
768,곡성,2022-06-05 18:00,16.7,310.3,1.4,2,988.9,1000.5,97
768,곡성,2022-06-05 19:00,16.5,324.1,1.7,2.5,988.7,1000.4,98
768,곡성,2022-06-05 20:00,16.5,0,.3,2.5,988,999.7,99
768,곡성,2022-06-05 21:00,16.5,242.4,1.3,2,987.1,998.7,99
768,곡성,2022-06-05 22:00,17.2,261.7,2.5,0,986.6,998.2,94
768,곡성,2022-06-05 23:00,17.6,274.9,1.6,0,987.6,999.2,91
768,곡성,2022-06-06 00:00,17.7,.8,1.8,.5,987.6,999.2,90
768,곡성,2022-06-06 01:00,17.5,347.4,1,0,987.9,999.5,90
768,곡성,2022-06-06 02:00,16.9,0,.4,0,988,999.6,95
768,곡성,2022-06-06 03:00,16.7,120.5,.6,0,987.7,999.3,97
768,곡성,2022-06-06 04:00,16.3,296.3,.9,0,987.2,998.9,98
768,곡성,2022-06-06 05:00,15.7,0,.4,0,987.4,999.1,99
768,곡성,2022-06-06 06:00,16.2,142.3,.5,0,987.7,999.4,99
768,곡성,2022-06-06 07:00,17,181.5,.9,0,987.8,999.4,97
768,곡성,2022-06-06 08:00,18.6,32.6,1.3,0,988.1,999.6,88
768,곡성,2022-06-06 09:00,18.7,37.7,1.8,0,988.4,999.9,86
768,곡성,2022-06-06 10:00,18.7,319.2,2.1,0,988.4,999.9,86
768,곡성,2022-06-06 11:00,19.4,357.7,1.3,0,989,1000.5,82
768,곡성,2022-06-06 12:00,19.1,357,1.8,0,988.9,1000.4,90
768,곡성,2022-06-06 13:00,20.7,36.4,2.5,0,988.7,1000.2,81
768,곡성,2022-06-06 14:00,21,303.8,1.9,0,988.9,1000.4,79
768,곡성,2022-06-06 15:00,22,247.6,2.1,0,989.2,1000.6,71
768,곡성,2022-06-06 16:00,23.5,41.4,3,0,989.1,1000.4,65
