지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
764,신덕,2022-06-01 00:00,11.7,0,0,0,985.3,1010.4,85
764,신덕,2022-06-01 01:00,11.5,0,.3,0,985,1010.1,89
764,신덕,2022-06-01 02:00,11.2,0,0,0,984.7,1009.9,91
764,신덕,2022-06-01 03:00,11.2,332.8,.9,0,984.2,1009.3,93
764,신덕,2022-06-01 04:00,11,0,.3,0,984.5,1009.7,92
764,신덕,2022-06-01 05:00,11.2,127.6,.6,0,984.1,1009.2,93
764,신덕,2022-06-01 06:00,11,0,0,0,983.9,1009.1,93
764,신덕,2022-06-01 07:00,12.8,350.2,.9,0,983.9,1008.8,85
764,신덕,2022-06-01 08:00,18.6,0,.4,0,984,1008.3,64
764,신덕,2022-06-01 09:00,21.9,0,.4,0,983.5,1007.5,49
764,신덕,2022-06-01 10:00,24.2,150.3,1.7,0,982.8,1006.5,37
764,신덕,2022-06-01 11:00,25.7,122.8,3.6,0,982.1,1005.8,32
764,신덕,2022-06-01 12:00,27.6,150.8,2.2,0,981.3,1004.8,23
764,신덕,2022-06-01 13:00,28.4,156.9,4.1,0,980.5,1003.9,21
764,신덕,2022-06-01 14:00,29,156.9,3.6,0,979.6,1002.9,20
764,신덕,2022-06-01 15:00,29.1,301.8,3.7,0,979.1,1002.4,23
764,신덕,2022-06-01 16:00,28.7,319.1,4.6,0,978.8,1002.1,26
764,신덕,2022-06-01 17:00,26.6,314.3,4.4,0,979,1002.6,31
764,신덕,2022-06-01 18:00,24.7,321.5,3.7,0,979.4,1003.2,35
764,신덕,2022-06-01 19:00,21.8,307.1,3,0,980.2,1004.2,46
764,신덕,2022-06-01 20:00,19,314.4,2,0,980.9,1005,53
764,신덕,2022-06-01 21:00,15.5,302.3,.8,0,981.5,1006.2,70
764,신덕,2022-06-01 22:00,13.6,345.8,.5,0,981.8,1006.6,82
764,신덕,2022-06-01 23:00,12.4,314.4,.6,0,982.1,1007,86
764,신덕,2022-06-02 00:00,11.6,327.6,.8,0,982.3,1007.3,90
764,신덕,2022-06-02 01:00,10.5,0,.1,0,982.7,1007.9,95
764,신덕,2022-06-02 02:00,9.5,0,0,0,982.7,1008,96
764,신덕,2022-06-02 03:00,8.8,0,.3,0,982.9,1008.2,98
764,신덕,2022-06-02 04:00,8.3,0,0,0,983.1,1008.5,98
764,신덕,2022-06-02 05:00,7.9,0,0,0,983.2,1008.6,98
764,신덕,2022-06-02 06:00,8.2,0,0,0,983.7,1009.1,98
764,신덕,2022-06-02 07:00,11.1,0,.1,0,983.6,1008.7,90
764,신덕,2022-06-02 08:00,15,106.7,1,0,983.7,1008.5,76
764,신덕,2022-06-02 09:00,20.1,102.1,1.3,0,983.4,1007.7,61
764,신덕,2022-06-02 10:00,22.7,212.6,1.9,0,983.3,1007.2,36
