지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,762,강진면,2021-06-01 00:00,15.1,79.0,2.2,0.0,991.1,1010.5,91.0
1,762,강진면,2021-06-01 01:00,14.1,89.8,2.4,0.0,991.0,1010.4,95.0
2,762,강진면,2021-06-01 02:00,13.9,88.6,0.9,0.0,991.6,1011.1,96.0
3,762,강진면,2021-06-01 03:00,13.3,93.9,2.4,0.0,991.7,1011.2,98.0
4,762,강진면,2021-06-01 04:00,14.1,78.0,3.2,0.0,991.8,1011.3,93.0
5,762,강진면,2021-06-01 05:00,13.1,0.0,0.1,0.0,992.5,1012.1,98.0
6,762,강진면,2021-06-01 06:00,13.2,75.7,2.5,0.0,992.7,1012.3,98.0
7,762,강진면,2021-06-01 07:00,15.5,92.9,1.3,0.0,993.2,1012.6,87.0
8,762,강진면,2021-06-01 08:00,18.4,270.5,0.7,0.0,994.1,1013.2,72.0
9,762,강진면,2021-06-01 09:00,21.5,201.6,1.5,0.0,993.8,1012.8,55.0
10,762,강진면,2021-06-01 10:00,22.6,92.5,3.1,0.0,993.2,1012.0,51.0
11,762,강진면,2021-06-01 11:00,24.5,97.1,3.7,0.0,992.7,1011.3,47.0
12,762,강진면,2021-06-01 12:00,26.0,84.7,2.9,0.0,992.4,1011.1,43.0
13,762,강진면,2021-06-01 13:00,27.2,272.5,1.5,0.0,992.7,1011.3,36.0
14,762,강진면,2021-06-01 14:00,28.7,264.7,1.6,0.0,992.9,1011.3,35.0
15,762,강진면,2021-06-01 15:00,28.5,273.7,3.5,0.0,992.3,1010.7,36.0
16,762,강진면,2021-06-01 16:00,27.6,257.2,2.5,0.0,992.6,1011.1,38.0
17,762,강진면,2021-06-01 17:00,25.5,286.3,1.6,0.0,992.6,1011.3,44.0
18,762,강진면,2021-06-01 18:00,24.7,247.6,2.0,0.0,993.0,1011.8,43.0
