지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,768.0,곡성,2021-06-01 00:00,16.9,244.3,0.6,0.0,,,74.0
1,768.0,곡성,2021-06-01 01:00,16.3,241.2,0.6,0.0,,,76.0
2,768.0,곡성,2021-06-01 02:00,15.5,0.0,0.2,0.0,,,74.0
3,768.0,곡성,2021-06-01 03:00,14.8,1.3,1.1,0.0,,,77.0
4,768.0,곡성,2021-06-01 04:00,14.9,290.9,0.6,0.0,,,78.0
5,768.0,곡성,2021-06-01 05:00,13.5,0.0,0.3,0.0,,,82.0
6,768.0,곡성,2021-06-01 06:00,13.9,0.0,0.4,0.0,,,81.0
7,768.0,곡성,2021-06-01 07:00,17.8,0.0,0.2,0.0,,,68.0
8,768.0,곡성,2021-06-01 08:00,20.0,0.0,0.4,0.0,,,63.0
9,768.0,곡성,2021-06-01 09:00,20.6,54.7,1.8,0.0,,,64.0
10,768.0,곡성,2021-06-01 10:00,23.7,76.6,1.0,0.0,,,50.0
11,768.0,곡성,2021-06-01 11:00,26.3,186.3,1.3,0.0,,,43.0
12,768.0,곡성,2021-06-01 12:00,27.4,200.5,2.5,0.0,,,34.0
13,768.0,곡성,2021-06-01 13:00,28.6,224.4,2.3,0.0,,,28.0
14,768.0,곡성,2021-06-01 14:00,28.9,142.0,2.0,0.0,,,26.0
15,768.0,곡성,2021-06-01 15:00,29.6,330.0,1.6,0.0,,,26.0
16,768.0,곡성,2021-06-01 16:00,29.5,315.7,2.3,0.0,,,27.0
17,768.0,곡성,2021-06-01 17:00,28.4,314.1,0.9,0.0,,,31.0
18,768.0,곡성,2021-06-01 18:00,27.1,300.0,0.9,0.0,,,35.0
19,768.0,곡성,2021-06-01 19:00,25.6,41.1,1.3,0.0,,,43.0
20,768.0,곡성,2021-06-01 20:00,22.4,298.6,0.9,0.0,,,52.0
21,768.0,곡성,2021-06-01 21:00,20.8,0.0,0.4,0.0,,,60.0
22,768.0,곡성,2021-06-01 22:00,19.8,0.0,0.4,0.0,,,66.0
23,768.0,곡성,2021-06-01 23:00,19.2,0.0,0.3,0.0,,,68.0
24,768.0,곡성,2021-06-02 00:00,18.8,220.0,0.7,0.0,,,71.0
25,768.0,곡성,2021-06-02 01:00,18.8,281.8,0.6,0.0,,,69.0
26,768.0,곡성,2021-06-02 02:00,17.7,232.3,0.9,0.0,,,74.0
27,768.0,곡성,2021-06-02 03:00,17.0,236.8,1.0,0.0,,,78.0
28,768.0,곡성,2021-06-02 04:00,17.2,234.9,0.6,0.0,,,79.0
29,768.0,곡성,2021-06-02 05:00,16.4,227.4,1.0,0.0,,,85.0
30,768.0,곡성,2021-06-02 06:00,16.0,0.0,0.2,0.0,,,90.0
31,768.0,곡성,2021-06-02 07:00,18.4,0.0,0.4,0.0,,,78.0
32,768.0,곡성,2021-06-02 08:00,19.3,81.9,0.7,0.0,,,73.0
33,768.0,곡성,2021-06-02 09:00,21.6,64.1,1.1,0.0,,,67.0
34,768.0,곡성,2021-06-02 10:00,24.5,175.0,0.7,0.0,,,55.0
35,768.0,곡성,2021-06-02 11:00,27.3,203.5,2.1,0.0,,,33.0
36,768.0,곡성,2021-06-02 12:00,28.6,179.8,2.4,0.0,,,30.0
37,768.0,곡성,2021-06-02 13:00,28.0,213.5,2.5,0.0,,,32.0
38,768.0,곡성,2021-06-02 14:00,28.3,144.4,2.0,0.0,,,34.0
39,768.0,곡성,2021-06-02 15:00,28.1,167.1,3.7,0.0,,,39.0
40,768.0,곡성,2021-06-02 16:00,27.2,194.1,2.9,0.0,,,41.0
41,768.0,곡성,2021-06-02 17:00,26.2,172.7,3.6,0.0,,,48.0
42,768.0,곡성,2021-06-02 18:00,25.5,198.4,2.5,0.0,,,52.0
43,768.0,곡성,2021-06-02 19:00,23.9,180.9,2.5,0.0,,,53.0
44,768.0,곡성,2021-06-02 20:00,21.4,200.5,1.3,0.0,,,61.0
45,768.0,곡성,2021-06-02 21:00,20.9,218.8,1.3,0.0,,,64.0
46,768.0,곡성,2021-06-02 22:00,18.6,333.0,0.7,0.0,,,77.0
47,768.0,곡성,2021-06-02 23:00,17.7,0.0,0.2,0.0,,,85.0
48,768.0,곡성,2021-06-03 00:00,16.7,0.0,0.2,0.0,,,90.0
49,768.0,곡성,2021-06-03 01:00,16.6,351.4,0.7,0.0,,,92.0
50,768.0,곡성,2021-06-03 02:00,16.9,288.9,0.6,0.0,,,89.0
51,768.0,곡성,2021-06-03 03:00,16.5,245.8,0.9,0.0,,,93.0
52,768.0,곡성,2021-06-03 04:00,16.0,0.0,0.4,0.0,,,93.0
53,768.0,곡성,2021-06-03 05:00,17.4,4.3,1.1,0.0,,,87.0
54,768.0,곡성,2021-06-03 06:00,18.1,204.0,0.7,0.0,,,85.0
55,768.0,곡성,2021-06-03 07:00,19.4,216.0,2.4,0.0,,,81.0
56,768.0,곡성,2021-06-03 08:00,18.9,172.7,0.6,1.5,,,96.0
57,768.0,곡성,2021-06-03 09:00,18.7,0.0,0.4,1.5,,,98.0
58,768.0,곡성,2021-06-03 10:00,17.9,12.5,1.0,2.0,,,99.0
59,768.0,곡성,2021-06-03 11:00,18.9,275.8,0.6,1.5,,,98.0
60,768.0,곡성,2021-06-03 12:00,19.3,57.1,0.8,2.0,,,99.0
