지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,764,신덕,2021-06-01 00:00,13.2,0.0,0.2,0.0,987.6,1012.6,95
1,764,신덕,2021-06-01 01:00,12.6,0.0,0.1,0.0,987.7,1012.8,96
2,764,신덕,2021-06-01 02:00,12.1,0.0,0.0,0.0,988.2,1013.3,97
3,764,신덕,2021-06-01 03:00,11.8,0.0,0.0,0.0,988.2,1013.4,98
4,764,신덕,2021-06-01 04:00,11.6,330.7,0.6,0.0,988.4,1013.6,99
5,764,신덕,2021-06-01 05:00,11.1,0.0,0.1,0.0,989.0,1014.3,99
6,764,신덕,2021-06-01 06:00,11.3,331.5,1.0,0.0,989.5,1014.8,99
7,764,신덕,2021-06-01 07:00,14.9,139.1,0.8,0.0,989.7,1014.7,92
8,764,신덕,2021-06-01 08:00,18.4,0.0,0.2,0.0,991.1,1015.6,80
9,764,신덕,2021-06-01 09:00,21.2,149.9,2.3,0.0,990.1,1014.4,60
10,764,신덕,2021-06-01 10:00,22.2,154.6,2.4,0.0,989.7,1013.8,49
11,764,신덕,2021-06-01 11:00,23.2,155.2,4.2,0.0,989.0,1013.0,48
12,764,신덕,2021-06-01 12:00,25.0,152.2,3.3,0.0,989.0,1013.0,40
13,764,신덕,2021-06-01 13:00,26.2,128.5,2.2,0.0,989.2,1013.1,35
14,764,신덕,2021-06-01 14:00,27.3,311.1,3.2,0.0,989.6,1013.3,36
15,764,신덕,2021-06-01 15:00,27.2,350.3,2.7,0.0,989.0,1012.7,37
16,764,신덕,2021-06-01 16:00,26.5,348.1,3.7,0.0,989.2,1013.0,39
17,764,신덕,2021-06-01 17:00,25.0,313.2,2.9,0.0,989.1,1013.1,43
18,764,신덕,2021-06-01 18:00,23.9,316.7,2.0,0.0,989.6,1013.5,50
19,764,신덕,2021-06-01 19:00,21.5,340.9,0.5,0.0,990.0,1014.3,62
20,764,신덕,2021-06-01 20:00,19.0,334.2,1.3,0.0,990.1,1014.5,70
21,764,신덕,2021-06-01 21:00,17.6,330.2,1.1,0.0,990.0,1014.6,80
