지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
762,강진면,2021-01-01 00:00,-5.4,248.4,1.7,0,1004.9,1026.2,80
762,강진면,2021-01-01 01:00,-7.1,274.6,1.1,0,1004.7,1026.2,89
762,강진면,2021-01-01 02:00,-6.9,299.5,1.4,0,1004.5,1025.9,88
762,강진면,2021-01-01 03:00,-7.3,0,0,0,1004.9,1026.4,93
762,강진면,2021-01-01 04:00,-8.5,0,.2,0,1005.1,1026.7,94
762,강진면,2021-01-01 05:00,-9.1,79,.6,0,1004.7,1026.3,94
762,강진면,2021-01-01 06:00,-10,0,.2,0,1004.7,1026.4,94
762,강진면,2021-01-01 07:00,-10,0,.1,0,1005,1026.7,92
762,강진면,2021-01-01 08:00,-9.9,91.5,1.2,0,1005.1,1026.8,93
762,강진면,2021-01-01 09:00,-9.6,87.7,1.9,0,1005.4,1027.1,93
762,강진면,2021-01-01 10:00,-6.9,102.9,2.3,0,1005.3,1026.7,92
762,강진면,2021-01-01 11:00,-3.7,104.7,2.2,0,1005.2,1026.4,80
762,강진면,2021-01-01 12:00,-2.3,95.6,2.7,0,1004.2,1025.3,82
762,강진면,2021-01-01 13:00,.4,103.4,2.7,1,1003.3,1024.1,71
762,강진면,2021-01-01 14:00,.9,240.3,3,.5,1002.9,1023.7,70
762,강진면,2021-01-01 15:00,1.6,67.8,2.2,0,1002.5,1023.2,62
762,강진면,2021-01-01 16:00,1.4,262.3,3.9,.5,1002.7,1023.4,61
762,강진면,2021-01-01 17:00,1.2,252,3.2,0,1002.6,1023.3,57
762,강진면,2021-01-01 18:00,-.1,277.5,1.1,0,1002.7,1023.6,72
762,강진면,2021-01-01 19:00,-1.2,0,.1,0,1002.9,1023.8,80
762,강진면,2021-01-01 20:00,-2.3,0,.1,0,1003.2,1024.2,86
762,강진면,2021-01-01 21:00,-3.4,0,.3,0,1003.2,1024.3,93
