지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
768,곡성,2021-01-01 01:00,-5,5.7,1.4,0,,,75
768,곡성,2021-01-01 02:00,-7.1,337.7,1,0,,,84
768,곡성,2021-01-01 03:00,-6.1,304.1,.6,0,,,84
768,곡성,2021-01-01 04:00,-6.5,0,.3,0,,,85
768,곡성,2021-01-01 05:00,-6.2,0,.1,0,,,84
768,곡성,2021-01-01 06:00,-7.8,0,0,0,,,89
768,곡성,2021-01-01 07:00,-8.9,207.9,.6,0,,,89
768,곡성,2021-01-01 08:00,-8.1,341.2,.7,0,,,89
768,곡성,2021-01-01 09:00,-7.4,35.7,1.5,0,,,86
768,곡성,2021-01-01 10:00,-6.1,78.4,.7,0,,,80
768,곡성,2021-01-01 11:00,-3.7,176.9,.9,0,,,75
768,곡성,2021-01-01 12:00,-2.4,35.9,1.2,0,,,77
768,곡성,2021-01-01 13:00,-.6,64,1.2,0,,,69
768,곡성,2021-01-01 14:00,2,48.7,1.5,0,,,64
768,곡성,2021-01-01 15:00,2.4,211.7,1.3,0,,,57
768,곡성,2021-01-01 16:00,2.1,293.3,1.5,0,,,58
768,곡성,2021-01-01 17:00,1.1,218.5,1.4,0,,,65
768,곡성,2021-01-01 18:00,-.7,244.5,1.2,0,,,74
768,곡성,2021-01-01 19:00,-1.6,305.2,.5,0,,,81
768,곡성,2021-01-01 20:00,-2.6,0,.1,0,,,85
768,곡성,2021-01-01 21:00,-1.9,0,.1,0,,,84
768,곡성,2021-01-01 22:00,-1.3,0,.1,0,,,86
768,곡성,2021-01-01 23:00,-.9,229.2,1,0,,,90
768,곡성,2021-01-02 00:00,-.8,0,.4,0,,,90
768,곡성,2021-01-02 01:00,-1,206.5,.6,0,,,93
768,곡성,2021-01-02 02:00,-1,0,.1,0,,,93
768,곡성,2021-01-02 03:00,-1.3,0,0,0,,,94
768,곡성,2021-01-02 04:00,-1.3,17.5,.9,0,,,100
768,곡성,2021-01-02 05:00,-1.3,13.1,1.2,0,,,100
768,곡성,2021-01-02 06:00,-1.5,18.6,.6,0,,,99
768,곡성,2021-01-02 07:00,-1.6,358,.5,0,,,99
768,곡성,2021-01-02 08:00,-2.3,356.5,1.4,0,,,88
768,곡성,2021-01-02 09:00,-1.7,25.4,.8,0,,,82
768,곡성,2021-01-02 10:00,-.8,57.2,2.6,0,,,73
768,곡성,2021-01-02 11:00,.4,28.8,3.2,0,,,59
768,곡성,2021-01-02 12:00,1.2,22.2,3.6,0,,,54
768,곡성,2021-01-02 13:00,2,355.8,3.3,0,,,44
768,곡성,2021-01-02 14:00,2,32.6,3.2,0,,,41
