관측 일시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-06-30,179.35,179.35,179.34,179.33,179.33,179.32,179.31,179.31,179.3,179.35,179.29,179.29,179.28,179.28,179.27,179.27,179.26,179.25,179.25,179.24,179.23,179.22,179.22,179.21
2021-06-29,179.43,179.43,179.43,179.44,179.44,179.43,179.43,179.43,179.43,179.43,179.42,179.42,179.41,179.41,179.41,179.41,179.4,179.39,179.39,179.38,179.38,179.37,179.37,179.36
2021-06-28,179.59,179.59,179.58,179.57,179.56,179.55,179.54,179.54,179.53,179.59,179.52,179.51,179.5,179.5,179.49,179.48,179.48,179.47,179.47,179.46,179.45,179.45,179.44,179.44
2021-06-27,179.77,179.77,179.76,179.75,179.74,179.74,179.73,179.72,179.72,179.77,179.7,179.7,179.69,179.68,179.67,179.67,179.66,179.65,179.64,179.63,179.63,179.62,179.61,179.6
2021-06-26,179.95,179.94,179.94,179.92,179.92,179.91,179.9,179.89,179.88,179.95,179.87,179.86,179.85,179.85,179.84,179.83,179.83,179.82,179.82,179.81,179.8,179.79,179.79,179.78
2021-06-25,180.14,180.13,180.13,180.12,180.11,180.1,180.09,180.08,180.07,180.14,180.06,180.05,180.04,180.03,180.03,180.02,180.01,180.0,179.99,179.98,179.97,179.97,179.96,179.96
2021-06-24,180.35,180.34,180.33,180.32,180.32,180.31,180.3,180.29,180.28,180.35,180.26,180.26,180.25,180.24,180.23,180.22,180.21,180.2,180.19,180.19,180.18,180.17,180.16,180.15
2021-06-23,180.56,180.55,180.54,180.53,180.52,180.51,180.51,180.5,180.49,180.56,180.47,180.46,180.45,180.44,180.44,180.43,180.42,180.41,180.4,180.4,180.39,180.38,180.37,180.36
2021-06-22,180.76,180.75,180.74,180.73,180.72,180.72,180.71,180.7,180.69,180.76,180.67,180.67,180.66,180.65,180.65,180.63,180.63,180.62,180.61,180.6,180.59,180.59,180.58,180.57
2021-06-21,180.96,180.96,180.95,180.94,180.92,180.92,180.91,180.9,180.89,180.96,180.87,180.87,180.86,180.85,180.84,180.83,180.83,180.82,180.82,180.81,180.8,180.79,180.78,180.77
2021-06-20,181.18,181.17,181.16,181.15,181.15,181.14,181.13,181.12,181.11,181.18,181.1,181.09,181.07,181.07,181.06,181.05,181.04,181.04,181.03,181.02,181.01,180.99,180.99,180.98
2021-06-19,181.39,181.38,181.37,181.36,181.35,181.34,181.34,181.33,181.32,181.39,181.3,181.3,181.29,181.28,181.27,181.26,181.26,181.25,181.24,181.23,181.22,181.21,181.2,181.19
2021-06-18,181.59,181.58,181.57,181.56,181.56,181.54,181.54,181.53,181.52,181.59,181.5,181.5,181.49,181.48,181.47,181.46,181.46,181.45,181.44,181.43,181.42,181.41,181.4,181.4
2021-06-17,181.78,181.78,181.77,181.76,181.75,181.74,181.73,181.73,181.72,181.78,181.7,181.69,181.68,181.68,181.67,181.66,181.65,181.64,181.63,181.62,181.62,181.61,181.6,181.59
2021-06-16,181.98,181.97,181.96,181.95,181.95,181.94,181.93,181.92,181.91,181.98,181.9,181.89,181.88,181.87,181.86,181.86,181.85,181.84,181.83,181.82,181.81,181.8,181.8,181.79
