관측 일시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2022-06-30,2.11,2.12,2.12,2.12,2.12,2.12,2.13,2.13,2.12,2.11,2.12,2.12,2.11,2.12,2.11,2.11,2.11,2.13,2.13,2.13,2.12,2.12,2.13,2.13
2022-06-29,2.09,2.09,2.09,2.08,2.09,2.09,2.09,2.08,2.08,2.09,2.08,2.08,2.09,2.08,2.09,2.08,2.08,2.08,2.08,2.09,2.09,2.09,2.1,2.1
2022-06-28,2.11,2.11,2.1,2.11,2.11,2.11,2.11,2.1,2.1,2.11,2.09,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.09,2.09,2.09,2.1,2.09
2022-06-27,2.13,2.14,2.14,2.13,2.13,2.14,2.13,2.13,2.13,2.13,2.13,2.12,2.12,2.12,2.12,2.12,2.11,2.11,2.11,2.11,2.11,2.1,2.11,2.1
2022-06-26,2.18,2.19,2.19,2.18,2.17,2.18,2.17,2.18,2.17,2.18,2.16,2.17,2.17,2.16,2.16,2.16,2.16,2.15,2.15,2.15,2.14,2.14,2.13,2.14
2022-06-25,2.39,2.37,2.34,2.32,2.3,2.28,2.27,2.24,2.24,2.39,2.22,2.21,2.2,2.21,2.19,2.19,2.18,2.18,2.19,2.19,2.19,2.18,2.17,2.18
2022-06-24,2.39,2.48,2.61,2.88,3.16,3.25,3.22,3.17,3.13,2.39,3.01,2.95,2.89,2.84,2.75,2.69,2.63,2.61,2.58,2.55,2.51,2.48,2.45,2.42
2022-06-23,2.19,2.19,2.2,2.2,2.2,2.19,2.19,2.19,2.19,2.19,2.18,2.18,2.17,2.16,2.16,2.16,2.15,2.16,2.17,2.17,2.16,2.15,2.14,2.21
2022-06-22,2.20,2.2,2.2,2.21,2.21,2.21,2.21,2.21,2.21,2.2,2.21,2.21,2.21,2.2,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.2,2.2,2.19
2022-06-21,2.09,2.09,2.1,2.1,2.13,2.14,2.15,2.15,2.15,2.09,2.15,2.15,2.15,2.15,2.16,2.16,2.16,2.16,2.16,2.17,2.17,2.18,2.19,2.19
2022-06-20,2.12,2.13,2.13,2.13,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.11,2.1,2.11,2.1,2.09,2.08,2.09,2.09,2.09,2.09,2.09
2022-06-19,2.11,2.11,2.11,2.11,2.12,2.12,2.12,2.13,2.13,2.11,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.12,2.13,2.12,2.12,2.11,2.12
2022-06-18,2.08,2.09,2.09,2.09,2.1,2.1,2.1,2.1,2.1,2.08,2.1,2.1,2.1,2.1,2.1,2.1,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11
2022-06-17,2.06,2.06,2.06,2.06,2.06,2.06,2.07,2.07,2.07,2.06,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.07,2.08,2.08,2.08,2.08,2.08,2.08
2022-06-16,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.07,2.07,2.07,2.07,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
2022-06-15,2.06,2.06,2.04,2.06,2.07,2.08,2.08,2.08,2.08,2.06,2.08,2.08,2.08,2.07,2.07,2.08,2.08,2.09,2.09,2.08,2.08,2.08,2.08,2.08
2022-06-14,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.06,2.06,2.06,2.05,2.05,2.06,2.06,2.06,2.06,2.07,2.07,2.07,2.07,2.07
2022-06-13,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.1,2.11,2.09,2.09,2.08,2.09,2.09,2.08,2.07,2.08,2.08,2.08,2.08,2.07,2.07,2.07
2022-06-12,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.15,2.15,2.16,2.14,2.14,2.14,2.13,2.12,2.12,2.12,2.12,2.12,2.12,2.11,2.11,2.11,2.11
2022-06-11,2.14,2.15,2.15,2.16,2.16,2.16,2.17,2.17,2.17,2.14,2.17,2.16,2.16,2.16,2.16,2.16,2.15,2.16,2.15,2.15,2.16,2.16,2.16,2.16
2022-06-10,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.14,2.14,2.13,2.12,2.13,2.13,2.13,2.13,2.12,2.12,2.12,2.13,2.13,2.14
2022-06-09,2.20,2.2,2.19,2.19,2.19,2.19,2.19,2.18,2.18,2.2,2.17,2.18,2.18,2.18,2.16,2.17,2.17,2.17,2.17,2.16,2.16,2.16,2.15,2.15
2022-06-08,2.37,2.37,2.36,2.36,2.35,2.34,2.33,2.32,2.31,2.37,2.29,2.28,2.27,2.27,2.25,2.24,2.24,2.23,2.23,2.23,2.22,2.21,2.2,2.2
2022-06-07,2.19,2.19,2.19,2.18,2.18,2.18,2.18,2.17,2.17,2.19,2.16,2.15,2.15,2.14,2.14,2.14,2.14,2.15,2.15,2.16,2.18,2.22,2.28,2.34
2022-06-06,2.42,2.41,2.38,2.36,2.33,2.3,2.28,2.26,2.24,2.42,2.22,2.22,2.21,2.21,2.2,2.19,2.2,2.2,2.2,2.19,2.19,2.19,2.19,2.19
2022-06-05,2.17,2.16,2.17,2.17,2.17,2.18,2.18,2.19,2.2,2.17,2.22,2.24,2.23,2.23,2.24,2.26,2.3,2.36,2.39,2.38,2.37,2.38,2.41,2.42
2022-06-04,2.10,2.1,2.1,2.11,2.11,2.12,2.12,2.13,2.13,2.1,2.13,2.13,2.13,2.12,2.12,2.13,2.13,2.14,2.16,2.17,2.16,2.15,2.15,2.15
2022-06-03,2.10,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.1,2.11,2.12,2.12,2.11,2.11,2.1,2.1,2.1,2.1,2.09,2.1,2.1,2.1,2.1
2022-06-02,2.10,2.11,2.11,2.11,2.11,2.11,2.11,2.12,2.13,2.1,2.14,2.13,2.13,2.13,2.12,2.12,2.11,2.12,2.11,2.1,2.1,2.1,2.1,2.1
2022-06-01,2.05,2.05,2.05,2.05,2.06,2.07,2.07,2.08,2.08,2.05,2.08,2.09,2.08,2.09,2.08,2.08,2.09,2.1,2.11,2.11,2.1,2.1,2.1,2.1
2022-05-31,2.10,2.09,2.1,2.09,2.09,2.09,2.09,2.09,2.09,2.1,2.08,2.08,2.07,2.07,2.06,2.07,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.05
2022-05-30,2.11,2.11,2.11,2.12,2.12,2.12,2.12,2.12,2.11,2.11,2.1,2.1,2.1,2.1,2.09,2.09,2.09,2.09,2.09,2.1,2.1,2.11,2.1,2.1
2022-05-29,2.10,2.11,2.11,2.12,2.12,2.12,2.12,2.12,2.12,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.09,2.1,2.09,2.09,2.1
2022-05-28,2.07,2.07,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.07,2.08,2.08,2.07,2.07,2.07,2.07,2.08,2.08,2.08,2.09,2.09,2.09,2.09,2.1
2022-05-27,2.04,2.04,2.04,2.05,2.05,2.05,2.05,2.06,2.06,2.04,2.06,2.06,2.05,2.05,2.04,2.05,2.04,2.05,2.06,2.07,2.07,2.07,2.07,2.07
2022-05-26,2.05,2.06,2.05,2.05,2.04,2.03,2.04,2.04,2.04,2.05,2.04,2.04,2.03,2.02,2.02,2.02,2.03,2.03,2.03,2.04,2.04,2.04,2.04,2.04
2022-05-25,2.14,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.12,2.14,2.11,2.11,2.11,2.1,2.09,2.1,2.1,2.11,2.1,2.1,2.09,2.08,2.07,2.07
2022-05-24,2.15,2.15,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.15,2.12,2.12,2.11,2.12,2.13,2.13,2.14,2.14,2.14,2.15,2.15,2.14,2.14,2.14
2022-05-23,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.15,2.15,2.15,2.15,2.14,2.15,2.14,2.14,2.15,2.15,2.15,2.15,2.15
2022-05-22,2.15,2.15,2.15,2.16,2.16,2.16,2.16,2.16,2.16,2.15,2.16,2.15,2.15,2.15,2.15,2.15,2.16,2.15,2.16,2.16,2.16,2.16,2.16,2.16
2022-05-21,2.18,2.18,2.17,2.17,2.17,2.17,2.17,2.17,2.16,2.18,2.16,2.15,2.16,2.16,2.16,2.15,2.16,2.15,2.15,2.14,2.14,2.13,2.14,2.15
2022-05-20,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.17,2.17,2.17,2.17,2.17,2.17,2.18,2.18,2.18,2.18,2.18,2.18
2022-05-19,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.16,2.16,2.16,2.16,2.16,2.16,2.15,2.15,2.15,2.15,2.15,2.16,2.15,2.16
