관측 일시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2022-05-02,0.70,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.67,0.67,0.66,0.66,0.66,0.66
2022-05-01,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.72,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
2022-04-30,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72
2022-04-29,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.68,0.63,0.63,0.68,0.71,0.72,0.73,0.73
2022-04-28,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.76,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
2022-04-27,0.68,0.68,0.69,0.7,0.72,0.73,0.74,0.74,0.75,0.68,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.76
2022-04-26,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2022-04-25,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.67,0.67,0.67,0.67,0.66,0.65,0.65,0.65
2022-04-24,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
2022-04-23,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2022-04-22,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2022-04-21,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
2022-04-20,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
2022-04-19,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2022-04-18,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2022-04-17,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2022-04-16,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.71,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2022-04-15,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.74,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
2022-04-14,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
2022-04-13,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.65,0.68,0.71,0.72,0.72,0.72,0.74,0.75,0.75,0.75,0.75
2022-04-12,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.58,0.58,0.57,0.56,0.56,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.62,0.62
2022-04-11,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.64,0.6,0.58,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55
2022-04-10,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,0.67,0.67,0.67,0.67,0.67
2022-04-09,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
2022-04-08,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
2022-04-07,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2022-04-06,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2022-04-05,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2022-04-04,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.71,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
2022-04-03,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
2022-04-02,0.72,0.71,0.71,0.7,0.7,0.7,0.69,0.69,0.69,0.72,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.7,0.7,0.7,0.71,0.71
2022-04-01,0.77,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.77,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.73,0.73
2022-03-31,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
2022-03-30,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.82,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.79
2022-03-29,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.85,0.84,0.86,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82
2022-03-28,0.95,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.95,0.91,0.9,0.9,0.9,0.95,0.92,0.9,0.88,0.88,0.87,0.87,0.87,0.87,0.86
2022-03-27,1.08,1.07,1.07,1.06,1.05,1.05,1.04,1.03,1.03,1.08,1.02,1.01,1.01,1.0,1.0,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.96,0.95
2022-03-26,0.73,0.75,0.76,0.79,0.82,0.85,0.87,0.9,0.91,0.73,0.94,0.94,0.95,0.95,0.96,0.98,1.0,1.02,1.04,1.06,1.07,1.08,1.08,1.08
2022-03-25,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.72,0.73
2022-03-24,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
2022-03-23,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.73
2022-03-22,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.78,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.75
2022-03-21,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.81,0.81,0.86,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78
2022-03-20,0.77,0.77,0.78,0.78,0.79,0.8,0.8,0.81,0.81,0.77,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.86,0.86,0.86
2022-03-19,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.69,0.67,0.7,0.7,0.71,0.72,0.72,0.72,0.73,0.73,0.73,0.74,0.74,0.75,0.75,0.76
2022-03-18,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
