지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,768.0,곡성,2021-01-01 00:00,-2.9,23.2,1.9,0.0,,,73.0
1,768.0,곡성,2021-01-01 01:00,-5.0,5.7,1.4,0.0,,,75.0
2,768.0,곡성,2021-01-01 02:00,-7.1,337.7,1.0,0.0,,,84.0
3,768.0,곡성,2021-01-01 03:00,-6.1,304.1,0.6,0.0,,,84.0
4,768.0,곡성,2021-01-01 04:00,-6.5,0.0,0.3,0.0,,,85.0
5,768.0,곡성,2021-01-01 05:00,-6.2,0.0,0.1,0.0,,,84.0
6,768.0,곡성,2021-01-01 06:00,-7.8,0.0,0.0,0.0,,,89.0
7,768.0,곡성,2021-01-01 07:00,-8.9,207.9,0.6,0.0,,,89.0
8,768.0,곡성,2021-01-01 08:00,-8.1,341.2,0.7,0.0,,,89.0
9,768.0,곡성,2021-01-01 09:00,-7.4,35.7,1.5,0.0,,,86.0
10,768.0,곡성,2021-01-01 10:00,-6.1,78.4,0.7,0.0,,,80.0
11,768.0,곡성,2021-01-01 11:00,-3.7,176.9,0.9,0.0,,,75.0
12,768.0,곡성,2021-01-01 12:00,-2.4,35.9,1.2,0.0,,,77.0
13,768.0,곡성,2021-01-01 13:00,-0.6,64.0,1.2,0.0,,,69.0
14,768.0,곡성,2021-01-01 14:00,2.0,48.7,1.5,0.0,,,64.0
15,768.0,곡성,2021-01-01 15:00,2.4,211.7,1.3,0.0,,,57.0
16,768.0,곡성,2021-01-01 16:00,2.1,293.3,1.5,0.0,,,58.0
17,768.0,곡성,2021-01-01 17:00,1.1,218.5,1.4,0.0,,,65.0
18,768.0,곡성,2021-01-01 18:00,-0.7,244.5,1.2,0.0,,,74.0
19,768.0,곡성,2021-01-01 19:00,-1.6,305.2,0.5,0.0,,,81.0
20,768.0,곡성,2021-01-01 20:00,-2.6,0.0,0.1,0.0,,,85.0
21,768.0,곡성,2021-01-01 21:00,-1.9,0.0,0.1,0.0,,,84.0
22,768.0,곡성,2021-01-01 22:00,-1.3,0.0,0.1,0.0,,,86.0
23,768.0,곡성,2021-01-01 23:00,-0.9,229.2,1.0,0.0,,,90.0
24,768.0,곡성,2021-01-02 00:00,-0.8,0.0,0.4,0.0,,,90.0
25,768.0,곡성,2021-01-02 01:00,-1.0,206.5,0.6,0.0,,,93.0
26,768.0,곡성,2021-01-02 02:00,-1.0,0.0,0.1,0.0,,,93.0
27,768.0,곡성,2021-01-02 03:00,-1.3,0.0,0.0,0.0,,,94.0
28,768.0,곡성,2021-01-02 04:00,-1.3,17.5,0.9,0.0,,,100.0
29,768.0,곡성,2021-01-02 05:00,-1.3,13.1,1.2,0.0,,,100.0
30,768.0,곡성,2021-01-02 06:00,-1.5,18.6,0.6,0.0,,,99.0
31,768.0,곡성,2021-01-02 07:00,-1.6,358.0,0.5,0.0,,,99.0
32,768.0,곡성,2021-01-02 08:00,-2.3,356.5,1.4,0.0,,,88.0
33,768.0,곡성,2021-01-02 09:00,-1.7,25.4,0.8,0.0,,,82.0
34,768.0,곡성,2021-01-02 10:00,-0.8,57.2,2.6,0.0,,,73.0
35,768.0,곡성,2021-01-02 11:00,0.4,28.8,3.2,0.0,,,59.0
36,768.0,곡성,2021-01-02 12:00,1.2,22.2,3.6,0.0,,,54.0
37,768.0,곡성,2021-01-02 13:00,2.0,355.8,3.3,0.0,,,44.0
38,768.0,곡성,2021-01-02 14:00,2.0,32.6,3.2,0.0,,,41.0
39,768.0,곡성,2021-01-02 15:00,1.6,342.8,3.9,0.0,,,32.0
40,768.0,곡성,2021-01-02 16:00,0.8,21.2,5.0,0.0,,,32.0
41,768.0,곡성,2021-01-02 17:00,-0.3,28.4,3.6,0.0,,,39.0
42,768.0,곡성,2021-01-02 18:00,-1.0,19.1,3.4,0.0,,,46.0
43,768.0,곡성,2021-01-02 19:00,-1.7,332.1,3.1,0.0,,,50.0
44,768.0,곡성,2021-01-02 20:00,-2.2,343.7,2.8,0.0,,,50.0
45,768.0,곡성,2021-01-02 21:00,-2.4,1.9,2.9,0.0,,,48.0
