일시,수위
0,2021-01-01 00:00,189.14
1,2021-01-01 01:00,189.14
2,2021-01-01 02:00,189.14
3,2021-01-01 03:00,189.14
4,2021-01-01 04:00,189.14
5,2021-01-01 05:00,189.14
6,2021-01-01 06:00,189.13
7,2021-01-01 07:00,189.13
8,2021-01-01 08:00,189.13
9,2021-01-01 09:00,189.13
10,2021-01-01 10:00,189.14
11,2021-01-01 11:00,189.13
12,2021-01-01 12:00,189.13
13,2021-01-01 13:00,189.13
14,2021-01-01 14:00,189.13
15,2021-01-01 15:00,189.13
16,2021-01-01 16:00,189.13
17,2021-01-01 17:00,189.13
18,2021-01-01 18:00,189.13
19,2021-01-01 19:00,189.13
20,2021-01-01 20:00,189.12
21,2021-01-01 21:00,189.12
22,2021-01-01 22:00,189.12
23,2021-01-01 23:00,189.12
24,2021-01-01 24:00,189.12
25,2021-01-02 01:00,189.12
26,2021-01-02 02:00,189.12
27,2021-01-02 03:00,189.12
28,2021-01-02 04:00,189.12
29,2021-01-02 05:00,189.12
30,2021-01-02 06:00,189.12
31,2021-01-02 07:00,189.12
32,2021-01-02 08:00,189.12
33,2021-01-02 09:00,189.11
34,2021-01-02 10:00,189.12
35,2021-01-02 11:00,189.12
36,2021-01-02 12:00,189.11
37,2021-01-02 13:00,189.11
38,2021-01-02 14:00,189.11
39,2021-01-02 15:00,189.11
40,2021-01-02 16:00,189.11
41,2021-01-02 17:00,189.11
42,2021-01-02 18:00,189.11
43,2021-01-02 19:00,189.11
44,2021-01-02 20:00,189.11
45,2021-01-02 21:00,189.11
46,2021-01-02 22:00,189.1
47,2021-01-02 23:00,189.1
48,2021-01-02 24:00,189.1
49,2021-01-03 01:00,189.1
50,2021-01-03 02:00,189.1
51,2021-01-03 03:00,189.1
52,2021-01-03 04:00,189.1
53,2021-01-03 05:00,189.1
54,2021-01-03 06:00,189.1
55,2021-01-03 07:00,189.1
56,2021-01-03 08:00,189.1
57,2021-01-03 09:00,189.1
58,2021-01-03 10:00,189.1
59,2021-01-03 11:00,189.1
60,2021-01-03 12:00,189.09
61,2021-01-03 13:00,189.09
62,2021-01-03 14:00,189.09
63,2021-01-03 15:00,189.09
64,2021-01-03 16:00,189.09
65,2021-01-03 17:00,189.09
66,2021-01-03 18:00,189.09
67,2021-01-03 19:00,189.09
68,2021-01-03 20:00,189.09
69,2021-01-03 21:00,189.09
70,2021-01-03 22:00,189.08
71,2021-01-03 23:00,189.08
72,2021-01-03 24:00,189.08
73,2021-01-04 01:00,189.08
74,2021-01-04 02:00,189.08
75,2021-01-04 03:00,189.08
76,2021-01-04 04:00,189.08
77,2021-01-04 05:00,189.08
78,2021-01-04 06:00,189.08
79,2021-01-04 07:00,189.08
80,2021-01-04 08:00,189.07
81,2021-01-04 09:00,189.07
82,2021-01-04 10:00,189.08
83,2021-01-04 11:00,189.07
84,2021-01-04 12:00,189.07
85,2021-01-04 13:00,189.07
86,2021-01-04 14:00,189.07
87,2021-01-04 15:00,189.07
88,2021-01-04 16:00,189.07
89,2021-01-04 17:00,189.07
90,2021-01-04 18:00,189.07
91,2021-01-04 19:00,189.07
92,2021-01-04 20:00,189.07
93,2021-01-04 21:00,189.07
94,2021-01-04 22:00,189.06
95,2021-01-04 23:00,189.06
96,2021-01-04 24:00,189.06
97,2021-01-05 01:00,189.06
98,2021-01-05 02:00,189.06
99,2021-01-05 03:00,189.06
100,2021-01-05 04:00,189.06
101,2021-01-05 05:00,189.06
102,2021-01-05 06:00,189.06
103,2021-01-05 07:00,189.06
104,2021-01-05 08:00,189.06
105,2021-01-05 09:00,189.06
106,2021-01-05 10:00,189.06
107,2021-01-05 11:00,189.06
108,2021-01-05 12:00,189.05
109,2021-01-05 13:00,189.05
110,2021-01-05 14:00,189.05
111,2021-01-05 15:00,189.05
112,2021-01-05 16:00,189.05
113,2021-01-05 17:00,189.05
114,2021-01-05 18:00,189.05
115,2021-01-05 19:00,189.05
116,2021-01-05 20:00,189.04
117,2021-01-05 21:00,189.05
118,2021-01-05 22:00,189.04
119,2021-01-05 23:00,189.04
120,2021-01-05 24:00,189.04
121,2021-01-06 01:00,189.04
122,2021-01-06 02:00,189.04
123,2021-01-06 03:00,189.04
124,2021-01-06 04:00,189.04
125,2021-01-06 05:00,189.04
126,2021-01-06 06:00,189.04
127,2021-01-06 07:00,189.04
128,2021-01-06 08:00,189.03
129,2021-01-06 09:00,189.04
130,2021-01-06 10:00,189.04
131,2021-01-06 11:00,189.03
132,2021-01-06 12:00,189.03
133,2021-01-06 13:00,189.03
134,2021-01-06 14:00,189.03
135,2021-01-06 15:00,189.03
136,2021-01-06 16:00,189.03
137,2021-01-06 17:00,189.03
138,2021-01-06 18:00,189.03
139,2021-01-06 19:00,189.03
140,2021-01-06 20:00,189.02
141,2021-01-06 21:00,189.02
142,2021-01-06 22:00,189.02
143,2021-01-06 23:00,189.02
144,2021-01-06 24:00,189.02
145,2021-01-07 01:00,189.02
146,2021-01-07 02:00,189.02
147,2021-01-07 03:00,189.02
148,2021-01-07 04:00,189.03
149,2021-01-07 05:00,189.02
150,2021-01-07 06:00,189.02
151,2021-01-07 07:00,189.02
152,2021-01-07 08:00,189.01
153,2021-01-07 09:00,189.02
154,2021-01-07 10:00,189.02
155,2021-01-07 11:00,189.02
156,2021-01-07 12:00,189.02
157,2021-01-07 13:00,189.02
158,2021-01-07 14:00,189.01
159,2021-01-07 15:00,189.02
160,2021-01-07 16:00,189.02
161,2021-01-07 17:00,189.01
162,2021-01-07 18:00,189.01
163,2021-01-07 19:00,189.01
164,2021-01-07 20:00,189.01
165,2021-01-07 21:00,189.01
166,2021-01-07 22:00,189.01
167,2021-01-07 23:00,189.01
168,2021-01-07 24:00,189.01
169,2021-01-08 01:00,189.01
170,2021-01-08 02:00,189.01
171,2021-01-08 03:00,189.0
172,2021-01-08 04:00,189.0
173,2021-01-08 05:00,189.0
174,2021-01-08 06:00,189.0
175,2021-01-08 07:00,189.0
176,2021-01-08 08:00,189.0
177,2021-01-08 09:00,189.0
178,2021-01-08 10:00,189.01
179,2021-01-08 11:00,189.0
180,2021-01-08 12:00,189.0
181,2021-01-08 13:00,189.0
182,2021-01-08 14:00,189.0
183,2021-01-08 15:00,188.99
184,2021-01-08 16:00,189.0
185,2021-01-08 17:00,188.99
186,2021-01-08 18:00,188.99
187,2021-01-08 19:00,188.99
188,2021-01-08 20:00,188.99
189,2021-01-08 21:00,188.99
190,2021-01-08 22:00,188.99
191,2021-01-08 23:00,188.99
192,2021-01-08 24:00,188.99
193,2021-01-09 01:00,188.99
194,2021-01-09 02:00,188.99
195,2021-01-09 03:00,188.98
196,2021-01-09 04:00,188.98
197,2021-01-09 05:00,188.98
198,2021-01-09 06:00,188.98
199,2021-01-09 07:00,188.98
200,2021-01-09 08:00,188.98
201,2021-01-09 09:00,188.98
202,2021-01-09 10:00,188.99
203,2021-01-09 11:00,188.98
204,2021-01-09 12:00,188.98
205,2021-01-09 13:00,188.97
206,2021-01-09 14:00,188.97
207,2021-01-09 15:00,188.97
208,2021-01-09 16:00,188.98
209,2021-01-09 17:00,188.97
210,2021-01-09 18:00,188.97
211,2021-01-09 19:00,188.97
212,2021-01-09 20:00,188.97
213,2021-01-09 21:00,188.97
214,2021-01-09 22:00,188.97
215,2021-01-09 23:00,188.97
216,2021-01-09 24:00,188.97
217,2021-01-10 01:00,188.97
218,2021-01-10 02:00,188.96
219,2021-01-10 03:00,188.96
220,2021-01-10 04:00,188.96
221,2021-01-10 05:00,188.96
222,2021-01-10 06:00,188.96
223,2021-01-10 07:00,188.96
224,2021-01-10 08:00,188.96
225,2021-01-10 09:00,188.96
226,2021-01-10 10:00,188.97
227,2021-01-10 11:00,188.96
228,2021-01-10 12:00,188.96
229,2021-01-10 13:00,188.95
230,2021-01-10 14:00,188.95
231,2021-01-10 15:00,188.95
232,2021-01-10 16:00,188.95
233,2021-01-10 17:00,188.95
234,2021-01-10 18:00,188.95
235,2021-01-10 19:00,188.95
236,2021-01-10 20:00,188.95
237,2021-01-10 21:00,188.95
238,2021-01-10 22:00,188.95
239,2021-01-10 23:00,188.95
240,2021-01-10 24:00,188.95
241,2021-01-11 01:00,188.94
242,2021-01-11 02:00,188.94
243,2021-01-11 03:00,188.94
244,2021-01-11 04:00,188.94
245,2021-01-11 05:00,188.94
246,2021-01-11 06:00,188.94
247,2021-01-11 07:00,188.94
248,2021-01-11 08:00,188.94
249,2021-01-11 09:00,188.94
250,2021-01-11 10:00,188.94
251,2021-01-11 11:00,188.94
252,2021-01-11 12:00,188.94
253,2021-01-11 13:00,188.93
254,2021-01-11 14:00,188.94
255,2021-01-11 15:00,188.94
256,2021-01-11 16:00,188.93
257,2021-01-11 17:00,188.93
258,2021-01-11 18:00,188.93
259,2021-01-11 19:00,188.93
260,2021-01-11 20:00,188.93
261,2021-01-11 21:00,188.93
262,2021-01-11 22:00,188.93
263,2021-01-11 23:00,188.93
264,2021-01-11 24:00,188.93
265,2021-01-12 01:00,188.92
266,2021-01-12 02:00,188.92
