일시,수위
0,2021-01-01 00:00,2.18
1,2021-01-01 01:00,2.19
2,2021-01-01 02:00,2.19
3,2021-01-01 03:00,2.19
4,2021-01-01 04:00,2.18
5,2021-01-01 05:00,2.18
6,2021-01-01 06:00,2.18
7,2021-01-01 07:00,2.18
8,2021-01-01 08:00,2.18
9,2021-01-01 09:00,2.18
10,2021-01-01 10:00,2.19
11,2021-01-01 11:00,2.16
12,2021-01-01 12:00,2.15
13,2021-01-01 13:00,2.13
14,2021-01-01 14:00,2.11
15,2021-01-01 15:00,2.1
16,2021-01-01 16:00,2.09
17,2021-01-01 17:00,2.08
18,2021-01-01 18:00,2.08
19,2021-01-01 19:00,2.09
20,2021-01-01 20:00,2.11
21,2021-01-01 21:00,2.13
22,2021-01-01 22:00,2.16
23,2021-01-01 23:00,2.17
24,2021-01-01 24:00,2.18
25,2021-01-02 01:00,2.18
26,2021-01-02 02:00,2.18
27,2021-01-02 03:00,2.18
28,2021-01-02 04:00,2.18
29,2021-01-02 05:00,2.18
30,2021-01-02 06:00,2.18
31,2021-01-02 07:00,2.18
32,2021-01-02 08:00,2.18
33,2021-01-02 09:00,2.19
34,2021-01-02 10:00,2.18
35,2021-01-02 11:00,2.16
36,2021-01-02 12:00,2.14
37,2021-01-02 13:00,2.12
38,2021-01-02 14:00,2.11
39,2021-01-02 15:00,2.1
40,2021-01-02 16:00,2.09
41,2021-01-02 17:00,2.08
42,2021-01-02 18:00,2.09
43,2021-01-02 19:00,2.1
44,2021-01-02 20:00,2.11
45,2021-01-02 21:00,2.13
46,2021-01-02 22:00,2.16
47,2021-01-02 23:00,2.18
48,2021-01-02 24:00,2.18
49,2021-01-03 01:00,2.18
50,2021-01-03 02:00,2.18
51,2021-01-03 03:00,2.18
52,2021-01-03 04:00,2.17
53,2021-01-03 05:00,2.18
54,2021-01-03 06:00,2.17
55,2021-01-03 07:00,2.18
56,2021-01-03 08:00,2.17
57,2021-01-03 09:00,2.18
58,2021-01-03 10:00,2.18
59,2021-01-03 11:00,2.16
60,2021-01-03 12:00,2.14
61,2021-01-03 13:00,2.12
62,2021-01-03 14:00,2.11
63,2021-01-03 15:00,2.1
64,2021-01-03 16:00,2.09
65,2021-01-03 17:00,2.09
66,2021-01-03 18:00,2.09
67,2021-01-03 19:00,2.11
68,2021-01-03 20:00,2.12
69,2021-01-03 21:00,2.14
70,2021-01-03 22:00,2.16
71,2021-01-03 23:00,2.18
72,2021-01-03 24:00,2.18
73,2021-01-04 01:00,2.18
74,2021-01-04 02:00,2.18
75,2021-01-04 03:00,2.18
