일시,수위
0,2021-01-01 00:00,0.59
1,2021-01-01 01:00,0.59
2,2021-01-01 02:00,0.59
3,2021-01-01 03:00,0.59
4,2021-01-01 04:00,0.59
5,2021-01-01 05:00,0.59
6,2021-01-01 06:00,0.59
7,2021-01-01 07:00,0.59
8,2021-01-01 08:00,0.59
9,2021-01-01 09:00,0.59
10,2021-01-01 10:00,0.59
11,2021-01-01 11:00,0.59
12,2021-01-01 12:00,0.59
13,2021-01-01 13:00,0.59
14,2021-01-01 14:00,0.59
15,2021-01-01 15:00,0.59
16,2021-01-01 16:00,0.59
17,2021-01-01 17:00,0.59
18,2021-01-01 18:00,0.59
19,2021-01-01 19:00,0.59
20,2021-01-01 20:00,0.59
21,2021-01-01 21:00,0.59
22,2021-01-01 22:00,0.59
23,2021-01-01 23:00,0.59
24,2021-01-01 24:00,0.59
25,2021-01-02 01:00,0.59
26,2021-01-02 02:00,0.59
27,2021-01-02 03:00,0.59
28,2021-01-02 04:00,0.59
29,2021-01-02 05:00,0.59
30,2021-01-02 06:00,0.59
31,2021-01-02 07:00,0.59
32,2021-01-02 08:00,0.59
33,2021-01-02 09:00,0.59
34,2021-01-02 10:00,0.59
35,2021-01-02 11:00,0.59
36,2021-01-02 12:00,0.59
37,2021-01-02 13:00,0.59
38,2021-01-02 14:00,0.59
39,2021-01-02 15:00,0.59
40,2021-01-02 16:00,0.59
41,2021-01-02 17:00,0.59
42,2021-01-02 18:00,0.59
43,2021-01-02 19:00,0.59
44,2021-01-02 20:00,0.59
45,2021-01-02 21:00,0.59
46,2021-01-02 22:00,0.59
47,2021-01-02 23:00,0.59
48,2021-01-02 24:00,0.59
49,2021-01-03 01:00,0.59
50,2021-01-03 02:00,0.59
51,2021-01-03 03:00,0.59
52,2021-01-03 04:00,0.59
53,2021-01-03 05:00,0.59
54,2021-01-03 06:00,0.59
55,2021-01-03 07:00,0.59
56,2021-01-03 08:00,0.59
57,2021-01-03 09:00,0.59
58,2021-01-03 10:00,0.59
59,2021-01-03 11:00,0.59
60,2021-01-03 12:00,0.59
61,2021-01-03 13:00,0.59
62,2021-01-03 14:00,0.59
63,2021-01-03 15:00,0.59
64,2021-01-03 16:00,0.59
65,2021-01-03 17:00,0.59
66,2021-01-03 18:00,0.59
67,2021-01-03 19:00,0.59
68,2021-01-03 20:00,0.59
69,2021-01-03 21:00,0.59
70,2021-01-03 22:00,0.59
71,2021-01-03 23:00,0.59
72,2021-01-03 24:00,0.59
73,2021-01-04 01:00,0.59
74,2021-01-04 02:00,0.59
75,2021-01-04 03:00,0.59
76,2021-01-04 04:00,0.59
77,2021-01-04 05:00,0.59
78,2021-01-04 06:00,0.59
79,2021-01-04 07:00,0.59
80,2021-01-04 08:00,0.59
81,2021-01-04 09:00,0.59
82,2021-01-04 10:00,0.59
83,2021-01-04 11:00,0.59
84,2021-01-04 12:00,0.59
85,2021-01-04 13:00,0.59
86,2021-01-04 14:00,0.59
87,2021-01-04 15:00,0.59
88,2021-01-04 16:00,0.59
89,2021-01-04 17:00,0.59
90,2021-01-04 18:00,0.59
91,2021-01-04 19:00,0.59
92,2021-01-04 20:00,0.59
93,2021-01-04 21:00,0.59
94,2021-01-04 22:00,0.59
95,2021-01-04 23:00,0.59
96,2021-01-04 24:00,0.59
97,2021-01-05 01:00,0.59
98,2021-01-05 02:00,0.59
99,2021-01-05 03:00,0.59
100,2021-01-05 04:00,0.59
101,2021-01-05 05:00,0.59
102,2021-01-05 06:00,0.59
103,2021-01-05 07:00,0.59
104,2021-01-05 08:00,0.59
105,2021-01-05 09:00,0.59
106,2021-01-05 10:00,0.59
107,2021-01-05 11:00,0.59
108,2021-01-05 12:00,0.59
109,2021-01-05 13:00,0.59
110,2021-01-05 14:00,0.59
111,2021-01-05 15:00,0.59
112,2021-01-05 16:00,0.59
113,2021-01-05 17:00,0.59
114,2021-01-05 18:00,0.59
115,2021-01-05 19:00,0.59
116,2021-01-05 20:00,0.59
117,2021-01-05 21:00,0.59
118,2021-01-05 22:00,0.59
119,2021-01-05 23:00,0.59
120,2021-01-05 24:00,0.59
121,2021-01-06 01:00,0.59
122,2021-01-06 02:00,0.59
123,2021-01-06 03:00,0.59
124,2021-01-06 04:00,0.59
125,2021-01-06 05:00,0.59
126,2021-01-06 06:00,0.59
127,2021-01-06 07:00,0.59
128,2021-01-06 08:00,0.59
129,2021-01-06 09:00,0.59
130,2021-01-06 10:00,0.59
131,2021-01-06 11:00,0.59
132,2021-01-06 12:00,0.59
133,2021-01-06 13:00,0.59
134,2021-01-06 14:00,0.59
135,2021-01-06 15:00,0.59
136,2021-01-06 16:00,0.59
137,2021-01-06 17:00,0.59
138,2021-01-06 18:00,0.59
139,2021-01-06 19:00,0.59
140,2021-01-06 20:00,0.59
141,2021-01-06 21:00,0.59
142,2021-01-06 22:00,0.59
143,2021-01-06 23:00,0.59
144,2021-01-06 24:00,0.59
145,2021-01-07 01:00,0.59
146,2021-01-07 02:00,0.59
147,2021-01-07 03:00,0.59
148,2021-01-07 04:00,0.59
149,2021-01-07 05:00,0.59
150,2021-01-07 06:00,0.59
151,2021-01-07 07:00,0.59
152,2021-01-07 08:00,0.59
153,2021-01-07 09:00,0.59
154,2021-01-07 10:00,0.59
155,2021-01-07 11:00,0.59
156,2021-01-07 12:00,0.59
157,2021-01-07 13:00,0.59
158,2021-01-07 14:00,0.59
159,2021-01-07 15:00,0.59
160,2021-01-07 16:00,0.59
161,2021-01-07 17:00,0.59
162,2021-01-07 18:00,0.59
163,2021-01-07 19:00,0.59
164,2021-01-07 20:00,0.59
165,2021-01-07 21:00,0.59
166,2021-01-07 22:00,0.59
167,2021-01-07 23:00,0.59
168,2021-01-07 24:00,0.59
169,2021-01-08 01:00,0.59
170,2021-01-08 02:00,0.59
171,2021-01-08 03:00,0.59
172,2021-01-08 04:00,0.59
173,2021-01-08 05:00,0.59
174,2021-01-08 06:00,0.59
175,2021-01-08 07:00,0.59
176,2021-01-08 08:00,0.59
177,2021-01-08 09:00,0.59
178,2021-01-08 10:00,0.59
179,2021-01-08 11:00,0.59
180,2021-01-08 12:00,0.59
181,2021-01-08 13:00,0.59
182,2021-01-08 14:00,0.59
183,2021-01-08 15:00,0.59
184,2021-01-08 16:00,0.59
185,2021-01-08 17:00,0.59
186,2021-01-08 18:00,0.59
187,2021-01-08 19:00,0.59
188,2021-01-08 20:00,0.59
189,2021-01-08 21:00,0.59
190,2021-01-08 22:00,0.59
191,2021-01-08 23:00,0.59
192,2021-01-08 24:00,0.59
193,2021-01-09 01:00,0.59
194,2021-01-09 02:00,0.59
195,2021-01-09 03:00,0.59
196,2021-01-09 04:00,0.59
197,2021-01-09 05:00,0.59
198,2021-01-09 06:00,0.59
199,2021-01-09 07:00,0.59
200,2021-01-09 08:00,0.59
201,2021-01-09 09:00,0.59
202,2021-01-09 10:00,0.59
203,2021-01-09 11:00,0.59
204,2021-01-09 12:00,0.59
205,2021-01-09 13:00,0.59
206,2021-01-09 14:00,0.59
207,2021-01-09 15:00,0.59
208,2021-01-09 16:00,0.59
209,2021-01-09 17:00,0.59
210,2021-01-09 18:00,0.59
211,2021-01-09 19:00,0.59
212,2021-01-09 20:00,0.59
213,2021-01-09 21:00,0.59
214,2021-01-09 22:00,0.59
215,2021-01-09 23:00,0.59
216,2021-01-09 24:00,0.59
217,2021-01-10 01:00,0.59
218,2021-01-10 02:00,0.59
219,2021-01-10 03:00,0.59
220,2021-01-10 04:00,0.59
221,2021-01-10 05:00,0.59
222,2021-01-10 06:00,0.59
223,2021-01-10 07:00,0.59
224,2021-01-10 08:00,0.59
225,2021-01-10 09:00,0.59
226,2021-01-10 10:00,0.59
227,2021-01-10 11:00,0.59
228,2021-01-10 12:00,0.59
229,2021-01-10 13:00,0.59
230,2021-01-10 14:00,0.59
231,2021-01-10 15:00,0.59
232,2021-01-10 16:00,0.59
233,2021-01-10 17:00,0.59
234,2021-01-10 18:00,0.59
235,2021-01-10 19:00,0.59
236,2021-01-10 20:00,0.59
237,2021-01-10 21:00,0.59
238,2021-01-10 22:00,0.59
239,2021-01-10 23:00,0.59
240,2021-01-10 24:00,0.59
241,2021-01-11 01:00,0.59
242,2021-01-11 02:00,0.59
243,2021-01-11 03:00,0.59
244,2021-01-11 04:00,0.59
245,2021-01-11 05:00,0.59
246,2021-01-11 06:00,0.59
247,2021-01-11 07:00,0.59
248,2021-01-11 08:00,0.59
249,2021-01-11 09:00,0.59
250,2021-01-11 10:00,0.59
251,2021-01-11 11:00,0.59
252,2021-01-11 12:00,0.59
253,2021-01-11 13:00,0.59
254,2021-01-11 14:00,0.59
255,2021-01-11 15:00,0.59
256,2021-01-11 16:00,0.59
257,2021-01-11 17:00,0.59
258,2021-01-11 18:00,0.59
259,2021-01-11 19:00,0.59
260,2021-01-11 20:00,0.59
261,2021-01-11 21:00,0.59
262,2021-01-11 22:00,0.59
263,2021-01-11 23:00,0.59
264,2021-01-11 24:00,0.59
265,2021-01-12 01:00,0.59
266,2021-01-12 02:00,0.59
267,2021-01-12 03:00,0.59
268,2021-01-12 04:00,0.59
269,2021-01-12 05:00,0.59
270,2021-01-12 06:00,0.59
271,2021-01-12 07:00,0.59
272,2021-01-12 08:00,0.59
273,2021-01-12 09:00,0.59
274,2021-01-12 10:00,0.59
275,2021-01-12 11:00,0.59
276,2021-01-12 12:00,0.59
277,2021-01-12 13:00,0.59
278,2021-01-12 14:00,0.59
279,2021-01-12 15:00,0.59
280,2021-01-12 16:00,0.59
281,2021-01-12 17:00,0.59
282,2021-01-12 18:00,0.59
283,2021-01-12 19:00,0.59
284,2021-01-12 20:00,0.59
285,2021-01-12 21:00,0.59
286,2021-01-12 22:00,0.59
287,2021-01-12 23:00,0.59
288,2021-01-12 24:00,0.59
289,2021-01-13 01:00,0.59
290,2021-01-13 02:00,0.59
291,2021-01-13 03:00,0.59
292,2021-01-13 04:00,0.59
293,2021-01-13 05:00,0.59
294,2021-01-13 06:00,0.59
295,2021-01-13 07:00,0.59
296,2021-01-13 08:00,0.59
297,2021-01-13 09:00,0.59
298,2021-01-13 10:00,0.59
299,2021-01-13 11:00,0.59
300,2021-01-13 12:00,0.59
301,2021-01-13 13:00,0.59
302,2021-01-13 14:00,0.59
303,2021-01-13 15:00,0.59
304,2021-01-13 16:00,0.59
305,2021-01-13 17:00,0.59
306,2021-01-13 18:00,0.59
307,2021-01-13 19:00,0.59
308,2021-01-13 20:00,0.59
309,2021-01-13 21:00,0.59
310,2021-01-13 22:00,0.59
311,2021-01-13 23:00,0.59
312,2021-01-13 24:00,0.59
313,2021-01-14 01:00,0.59
314,2021-01-14 02:00,0.59
315,2021-01-14 03:00,0.59
316,2021-01-14 04:00,0.59
317,2021-01-14 05:00,0.59
318,2021-01-14 06:00,0.59
319,2021-01-14 07:00,0.59
320,2021-01-14 08:00,0.59
321,2021-01-14 09:00,0.59
322,2021-01-14 10:00,0.59
323,2021-01-14 11:00,0.59
324,2021-01-14 12:00,0.59
325,2021-01-14 13:00,0.59
326,2021-01-14 14:00,0.59
327,2021-01-14 15:00,0.59
328,2021-01-14 16:00,0.59
329,2021-01-14 17:00,0.59
330,2021-01-14 18:00,0.59
331,2021-01-14 19:00,0.59
332,2021-01-14 20:00,0.59
333,2021-01-14 21:00,0.59
334,2021-01-14 22:00,0.59
335,2021-01-14 23:00,0.59
336,2021-01-14 24:00,0.59
337,2021-01-15 01:00,0.59
338,2021-01-15 02:00,0.59
339,2021-01-15 03:00,0.59
340,2021-01-15 04:00,0.59
341,2021-01-15 05:00,0.59
342,2021-01-15 06:00,0.59
343,2021-01-15 07:00,0.59
344,2021-01-15 08:00,0.59
345,2021-01-15 09:00,0.59
346,2021-01-15 10:00,0.59
347,2021-01-15 11:00,0.59
348,2021-01-15 12:00,0.59
349,2021-01-15 13:00,0.59
350,2021-01-15 14:00,0.59
351,2021-01-15 15:00,0.59
352,2021-01-15 16:00,0.59
353,2021-01-15 17:00,0.59
354,2021-01-15 18:00,0.6
355,2021-01-15 19:00,0.6
356,2021-01-15 20:00,0.6
357,2021-01-15 21:00,0.6
358,2021-01-15 22:00,0.6
359,2021-01-15 23:00,0.6
360,2021-01-15 24:00,0.6
361,2021-01-16 01:00,0.6
362,2021-01-16 02:00,0.6
363,2021-01-16 03:00,0.6
364,2021-01-16 04:00,0.6
365,2021-01-16 05:00,0.6
366,2021-01-16 06:00,0.6
367,2021-01-16 07:00,0.6
368,2021-01-16 08:00,0.6
369,2021-01-16 09:00,0.6
370,2021-01-16 10:00,0.6
371,2021-01-16 11:00,0.6
372,2021-01-16 12:00,0.6
373,2021-01-16 13:00,0.6
374,2021-01-16 14:00,0.6
375,2021-01-16 15:00,0.6
376,2021-01-16 16:00,0.6
377,2021-01-16 17:00,0.6
378,2021-01-16 18:00,0.6
379,2021-01-16 19:00,0.6
380,2021-01-16 20:00,0.6
381,2021-01-16 21:00,0.6
382,2021-01-16 22:00,0.6
