지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,762.0,강진면,2022-06-01 00:00,13.6,87.5,0.6,0.0,990.2,1009.7,76.0
1,762.0,강진면,2022-06-01 01:00,13.4,0.0,0.1,0.0,990.0,1009.5,81.0
2,762.0,강진면,2022-06-01 02:00,12.6,93.2,2.1,0.0,989.6,1009.2,87.0
3,762.0,강진면,2022-06-01 03:00,12.6,79.9,2.4,0.0,988.9,1008.4,85.0
4,762.0,강진면,2022-06-01 04:00,12.4,85.7,0.8,0.0,989.2,1008.8,87.0
5,762.0,강진면,2022-06-01 05:00,12.3,79.4,1.0,0.0,989.1,1008.7,88.0
6,762.0,강진면,2022-06-01 06:00,12.6,59.0,0.9,0.0,989.0,1008.5,88.0
7,762.0,강진면,2022-06-01 07:00,13.8,99.7,1.9,0.0,988.7,1008.1,83.0
8,762.0,강진면,2022-06-01 08:00,18.0,246.0,0.5,0.0,988.9,1008.0,67.0
9,762.0,강진면,2022-06-01 09:00,23.0,102.4,2.6,0.0,988.1,1006.8,47.0
10,762.0,강진면,2022-06-01 10:00,25.0,100.8,2.5,0.0,987.5,1006.2,34.0
11,762.0,강진면,2022-06-01 11:00,28.1,126.4,1.6,0.0,986.8,1005.2,27.0
12,762.0,강진면,2022-06-01 12:00,28.6,266.4,3.4,0.0,986.2,1004.5,19.0
13,762.0,강진면,2022-06-01 13:00,29.3,264.9,3.0,0.0,985.5,1003.7,20.0
14,762.0,강진면,2022-06-01 14:00,29.8,118.7,2.3,0.0,984.5,1002.8,21.0
15,762.0,강진면,2022-06-01 15:00,30.5,269.0,2.1,0.0,983.8,1002.0,17.0
16,762.0,강진면,2022-06-01 16:00,30.6,260.5,1.8,0.0,983.4,1001.6,18.0
17,762.0,강진면,2022-06-01 17:00,28.1,251.7,2.8,0.0,983.6,1001.9,31.0
18,762.0,강진면,2022-06-01 18:00,25.9,288.0,2.2,0.0,984.0,1002.5,37.0
19,762.0,강진면,2022-06-01 19:00,22.7,273.0,2.3,0.0,984.9,1003.6,45.0
20,762.0,강진면,2022-06-01 20:00,20.4,240.8,1.2,0.0,985.6,1004.5,53.0
21,762.0,강진면,2022-06-01 21:00,17.0,267.9,1.9,0.0,986.4,1005.5,66.0
