지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,768.0,곡성,2022-06-01 00:00,16.6,0.0,0.0,0.0,998.7,1010.5,63.0
1,768.0,곡성,2022-06-01 01:00,15.7,320.1,0.6,0.0,998.4,1010.2,66.0
2,768.0,곡성,2022-06-01 02:00,15.6,318.7,1.1,0.0,998.4,1010.2,67.0
3,768.0,곡성,2022-06-01 03:00,15.4,311.5,1.6,0.0,997.9,1009.7,70.0
4,768.0,곡성,2022-06-01 04:00,14.5,218.3,0.5,0.0,997.8,1009.6,76.0
5,768.0,곡성,2022-06-01 05:00,14.5,0.0,0.4,0.0,998.0,1009.8,79.0
6,768.0,곡성,2022-06-01 06:00,14.5,0.0,0.0,0.0,997.8,1009.6,79.0
7,768.0,곡성,2022-06-01 07:00,16.2,37.1,1.7,0.0,997.5,1009.3,76.0
8,768.0,곡성,2022-06-01 08:00,18.0,41.9,1.9,0.0,997.6,1009.3,73.0
9,768.0,곡성,2022-06-01 09:00,21.1,92.9,0.9,0.0,997.1,1008.7,54.0
10,768.0,곡성,2022-06-01 10:00,24.0,46.8,1.6,0.0,996.3,1007.7,48.0
11,768.0,곡성,2022-06-01 11:00,27.6,74.4,1.1,0.0,995.7,1007.0,35.0
12,768.0,곡성,2022-06-01 12:00,30.1,124.7,2.1,0.0,994.7,1005.9,26.0
13,768.0,곡성,2022-06-01 13:00,30.6,181.9,3.3,0.0,994.1,1005.3,20.0
14,768.0,곡성,2022-06-01 14:00,31.1,171.6,3.9,0.0,993.4,1004.5,16.0
15,768.0,곡성,2022-06-01 15:00,31.9,176.2,3.0,0.0,992.7,1003.8,16.0
16,768.0,곡성,2022-06-01 16:00,31.0,187.4,3.8,0.0,992.3,1003.4,18.0
17,768.0,곡성,2022-06-01 17:00,30.2,195.7,3.5,0.0,992.0,1003.1,20.0
18,768.0,곡성,2022-06-01 18:00,28.1,189.0,4.0,0.0,992.3,1003.5,27.0
19,768.0,곡성,2022-06-01 19:00,25.1,208.9,1.6,0.0,993.0,1004.4,35.0
20,768.0,곡성,2022-06-01 20:00,23.5,233.2,1.8,0.0,993.7,1005.1,39.0
21,768.0,곡성,2022-06-01 21:00,22.4,262.8,2.0,0.0,994.8,1006.2,48.0
22,768.0,곡성,2022-06-01 22:00,18.5,20.7,0.5,0.0,995.0,1006.6,60.0
23,768.0,곡성,2022-06-01 23:00,16.9,230.7,0.6,0.0,995.4,1007.1,68.0
24,768.0,곡성,2022-06-02 00:00,15.0,0.0,0.1,0.0,995.6,1007.4,74.0
25,768.0,곡성,2022-06-02 01:00,14.4,333.4,0.7,0.0,996.2,1008.0,79.0
26,768.0,곡성,2022-06-02 02:00,13.3,0.0,0.4,0.0,996.1,1008.0,86.0
27,768.0,곡성,2022-06-02 03:00,12.9,11.7,0.6,0.0,996.4,1008.3,88.0
28,768.0,곡성,2022-06-02 04:00,11.9,311.8,0.7,0.0,996.6,1008.6,90.0
29,768.0,곡성,2022-06-02 05:00,11.3,0.0,0.0,0.0,996.9,1008.9,93.0
30,768.0,곡성,2022-06-02 06:00,12.1,0.0,0.3,0.0,997.1,1009.1,90.0
31,768.0,곡성,2022-06-02 07:00,14.4,161.5,0.7,0.0,997.5,1009.3,81.0
32,768.0,곡성,2022-06-02 08:00,17.2,173.8,1.2,0.0,997.6,1009.3,72.0
33,768.0,곡성,2022-06-02 09:00,19.8,86.7,1.4,0.0,997.4,1009.0,64.0
34,768.0,곡성,2022-06-02 10:00,23.4,79.2,1.7,0.0,997.0,1008.4,55.0
35,768.0,곡성,2022-06-02 11:00,25.6,64.6,1.8,0.0,996.5,1007.9,48.0
36,768.0,곡성,2022-06-02 12:00,28.6,339.5,3.2,0.0,996.0,1007.2,35.0
37,768.0,곡성,2022-06-02 13:00,29.0,262.4,2.7,0.0,995.8,1007.0,33.0
38,768.0,곡성,2022-06-02 14:00,29.7,277.1,2.2,0.0,995.4,1006.5,35.0
39,768.0,곡성,2022-06-02 15:00,30.8,241.5,2.5,0.0,995.1,1006.3,36.0
40,768.0,곡성,2022-06-02 16:00,30.4,277.4,1.8,0.0,995.0,1006.2,38.0
41,768.0,곡성,2022-06-02 17:00,30.1,255.9,2.3,0.0,994.8,1006.0,40.0
42,768.0,곡성,2022-06-02 18:00,29.3,308.3,1.5,0.0,994.6,1005.8,40.0
43,768.0,곡성,2022-06-02 19:00,26.3,314.6,0.5,0.0,995.2,1006.5,50.0
44,768.0,곡성,2022-06-02 20:00,25.0,314.0,1.8,0.0,996.1,1007.5,59.0
45,768.0,곡성,2022-06-02 21:00,23.5,345.9,2.0,0.0,996.9,1008.3,69.0
46,768.0,곡성,2022-06-02 22:00,21.6,316.0,1.0,0.0,997.7,1009.2,76.0
47,768.0,곡성,2022-06-02 23:00,20.0,308.7,1.3,0.0,997.8,1009.4,83.0
48,768.0,곡성,2022-06-03 00:00,19.5,0.0,0.4,0.0,998.1,1009.7,86.0
49,768.0,곡성,2022-06-03 01:00,19.5,312.3,0.8,0.0,998.1,1009.7,86.0
50,768.0,곡성,2022-06-03 02:00,18.7,311.0,1.9,0.0,998.2,1009.8,91.0
51,768.0,곡성,2022-06-03 03:00,18.4,0.0,0.0,0.0,998.0,1009.6,91.0
52,768.0,곡성,2022-06-03 04:00,16.9,285.6,0.7,0.0,997.7,1009.4,94.0
53,768.0,곡성,2022-06-03 05:00,16.4,305.3,1.5,0.0,998.3,1010.1,95.0
54,768.0,곡성,2022-06-03 06:00,16.1,0.0,0.4,0.0,998.6,1010.4,96.0
55,768.0,곡성,2022-06-03 07:00,18.9,0.0,0.1,0.0,998.7,1010.3,87.0
