일시,수위
0,2022-05-31 24:00,0.58
1,2022-06-01 01:00,0.57
2,2022-06-01 02:00,0.58
3,2022-06-01 03:00,0.58
4,2022-06-01 04:00,0.58
5,2022-06-01 05:00,0.58
6,2022-06-01 06:00,0.58
7,2022-06-01 07:00,0.57
8,2022-06-01 08:00,0.58
9,2022-06-01 09:00,0.57
10,2022-06-01 10:00,0.57
11,2022-06-01 11:00,0.58
12,2022-06-01 12:00,0.57
13,2022-06-01 13:00,0.58
14,2022-06-01 14:00,0.57
15,2022-06-01 15:00,0.57
16,2022-06-01 16:00,0.58
17,2022-06-01 17:00,0.57
18,2022-06-01 18:00,0.57
19,2022-06-01 19:00,0.57
20,2022-06-01 20:00,0.57
21,2022-06-01 21:00,0.57
22,2022-06-01 22:00,0.57
23,2022-06-01 23:00,0.57
24,2022-06-01 24:00,0.57
25,2022-06-02 01:00,0.57
26,2022-06-02 02:00,0.57
27,2022-06-02 03:00,0.57
28,2022-06-02 04:00,0.57
29,2022-06-02 05:00,0.57
30,2022-06-02 06:00,0.57
31,2022-06-02 07:00,0.57
32,2022-06-02 08:00,0.57
33,2022-06-02 09:00,0.57
34,2022-06-02 10:00,0.57
35,2022-06-02 11:00,0.57
36,2022-06-02 12:00,0.57
37,2022-06-02 13:00,0.57
38,2022-06-02 14:00,0.57
39,2022-06-02 15:00,0.57
40,2022-06-02 16:00,0.57
41,2022-06-02 17:00,0.57
42,2022-06-02 18:00,0.57
43,2022-06-02 19:00,0.57
44,2022-06-02 20:00,0.57
45,2022-06-02 21:00,0.57
46,2022-06-02 22:00,0.57
47,2022-06-02 23:00,0.57
48,2022-06-02 24:00,0.57
49,2022-06-03 01:00,0.57
50,2022-06-03 02:00,0.57
51,2022-06-03 03:00,0.57
52,2022-06-03 04:00,0.57
53,2022-06-03 05:00,0.57
54,2022-06-03 06:00,0.57
55,2022-06-03 07:00,0.57
56,2022-06-03 08:00,0.57
57,2022-06-03 09:00,0.57
58,2022-06-03 10:00,0.57
59,2022-06-03 11:00,0.57
60,2022-06-03 12:00,0.57
61,2022-06-03 13:00,0.57
62,2022-06-03 14:00,0.57
63,2022-06-03 15:00,0.57
64,2022-06-03 16:00,0.57
65,2022-06-03 17:00,0.57
66,2022-06-03 18:00,0.57
67,2022-06-03 19:00,0.57
68,2022-06-03 20:00,0.57
69,2022-06-03 21:00,0.57
70,2022-06-03 22:00,0.57
71,2022-06-03 23:00,0.57
72,2022-06-03 24:00,0.57
73,2022-06-04 01:00,0.57
74,2022-06-04 02:00,0.57
75,2022-06-04 03:00,0.57
76,2022-06-04 04:00,0.57
77,2022-06-04 05:00,0.57
78,2022-06-04 06:00,0.57
79,2022-06-04 07:00,0.57
80,2022-06-04 08:00,0.57
81,2022-06-04 09:00,0.57
82,2022-06-04 10:00,0.57
83,2022-06-04 11:00,0.57
84,2022-06-04 12:00,0.57
85,2022-06-04 13:00,0.57
86,2022-06-04 14:00,0.57
87,2022-06-04 15:00,0.57
88,2022-06-04 16:00,0.57
89,2022-06-04 17:00,0.57
90,2022-06-04 18:00,0.56
91,2022-06-04 19:00,0.56
92,2022-06-04 20:00,0.56
93,2022-06-04 21:00,0.56
94,2022-06-04 22:00,0.56
95,2022-06-04 23:00,0.56
96,2022-06-04 24:00,0.57
97,2022-06-05 01:00,0.57
98,2022-06-05 02:00,0.57
99,2022-06-05 03:00,0.57
100,2022-06-05 04:00,0.57
101,2022-06-05 05:00,0.57
102,2022-06-05 06:00,0.57
103,2022-06-05 07:00,0.57
104,2022-06-05 08:00,0.57
105,2022-06-05 09:00,0.58
106,2022-06-05 10:00,0.57
107,2022-06-05 11:00,0.58
108,2022-06-05 12:00,0.59
109,2022-06-05 13:00,0.59
110,2022-06-05 14:00,0.59
111,2022-06-05 15:00,0.59
112,2022-06-05 16:00,0.6
113,2022-06-05 17:00,0.62
114,2022-06-05 18:00,0.63
115,2022-06-05 19:00,0.64
116,2022-06-05 20:00,0.66
117,2022-06-05 21:00,0.68
118,2022-06-05 22:00,0.68
119,2022-06-05 23:00,0.69
120,2022-06-05 24:00,0.69
121,2022-06-06 01:00,0.7
122,2022-06-06 02:00,0.72
123,2022-06-06 03:00,0.73
124,2022-06-06 04:00,0.74
125,2022-06-06 05:00,0.75
126,2022-06-06 06:00,0.76
127,2022-06-06 07:00,0.75
128,2022-06-06 08:00,0.75
129,2022-06-06 09:00,0.75
130,2022-06-06 10:00,0.7
131,2022-06-06 11:00,0.74
132,2022-06-06 12:00,0.73
133,2022-06-06 13:00,0.73
134,2022-06-06 14:00,0.72
135,2022-06-06 15:00,0.72
136,2022-06-06 16:00,0.71
137,2022-06-06 17:00,0.71
138,2022-06-06 18:00,0.7
139,2022-06-06 19:00,0.7
140,2022-06-06 20:00,0.7
141,2022-06-06 21:00,0.69
142,2022-06-06 22:00,0.69
143,2022-06-06 23:00,0.68
144,2022-06-06 24:00,0.68
145,2022-06-07 01:00,0.67
146,2022-06-07 02:00,0.67
147,2022-06-07 03:00,0.66
148,2022-06-07 04:00,0.66
149,2022-06-07 05:00,0.66
150,2022-06-07 06:00,0.65
151,2022-06-07 07:00,0.65
152,2022-06-07 08:00,0.65
153,2022-06-07 09:00,0.65
154,2022-06-07 10:00,0.67
155,2022-06-07 11:00,0.64
156,2022-06-07 12:00,0.65
157,2022-06-07 13:00,0.64
158,2022-06-07 14:00,0.64
159,2022-06-07 15:00,0.64
160,2022-06-07 16:00,0.64
161,2022-06-07 17:00,0.64
162,2022-06-07 18:00,0.63
163,2022-06-07 19:00,0.63
164,2022-06-07 20:00,0.63
165,2022-06-07 21:00,0.64
166,2022-06-07 22:00,0.65
167,2022-06-07 23:00,0.66
