일시,수위
0,2022-08-01 01:00,1.77
1,2022-08-01 02:00,1.78
2,2022-08-01 03:00,1.81
3,2022-08-01 04:00,1.94
4,2022-08-01 05:00,1.96
5,2022-08-01 06:00,1.96
6,2022-08-01 07:00,1.98
7,2022-08-01 08:00,1.95
8,2022-08-01 09:00,1.96
9,2022-08-01 10:00,1.77
10,2022-08-01 11:00,1.95
11,2022-08-01 12:00,1.94
12,2022-08-01 13:00,1.9
13,2022-08-01 14:00,1.87
14,2022-08-01 15:00,1.83
15,2022-08-01 16:00,1.85
16,2022-08-01 17:00,1.94
17,2022-08-01 18:00,1.95
18,2022-08-01 19:00,1.94
19,2022-08-01 20:00,1.94
20,2022-08-01 21:00,1.94
21,2022-08-01 22:00,1.94
22,2022-08-01 23:00,1.93
23,2022-08-02 00:00,1.94
24,2022-08-02 01:00,2.03
25,2022-08-02 02:00,2.0
26,2022-08-02 03:00,1.95
27,2022-08-02 04:00,1.95
28,2022-08-02 05:00,1.94
29,2022-08-02 06:00,1.87
30,2022-08-02 07:00,1.78
31,2022-08-02 08:00,1.72
32,2022-08-02 09:00,1.71
33,2022-08-02 10:00,2.03
34,2022-08-02 11:00,2.18
35,2022-08-02 12:00,2.01
36,2022-08-02 13:00,1.93
37,2022-08-02 14:00,1.83
38,2022-08-02 15:00,1.75
39,2022-08-02 16:00,1.72
40,2022-08-02 17:00,1.75
41,2022-08-02 18:00,1.65
42,2022-08-02 19:00,1.62
43,2022-08-02 20:00,1.55
44,2022-08-02 21:00,1.56
45,2022-08-02 22:00,1.56
46,2022-08-02 23:00,1.53
47,2022-08-03 00:00,1.5
48,2022-08-03 01:00,1.47
49,2022-08-03 02:00,1.41
50,2022-08-03 03:00,1.43
51,2022-08-03 04:00,1.4
52,2022-08-03 05:00,1.39
53,2022-08-03 06:00,1.38
54,2022-08-03 07:00,1.31
55,2022-08-03 08:00,1.3
56,2022-08-03 09:00,1.34
57,2022-08-03 10:00,1.47
58,2022-08-03 11:00,1.36
59,2022-08-03 12:00,1.32
60,2022-08-03 13:00,1.3
61,2022-08-03 14:00,1.3
62,2022-08-03 15:00,1.27
63,2022-08-03 16:00,1.27
64,2022-08-03 17:00,1.27
65,2022-08-03 18:00,1.27
66,2022-08-03 19:00,1.27
67,2022-08-03 20:00,1.29
68,2022-08-03 21:00,1.26
69,2022-08-03 22:00,1.22
70,2022-08-03 23:00,1.2
71,2022-08-04 00:00,1.19
