지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,768,곡성,2022-08-01 01:00,27.4,162.1,4.8,0.0,994.1,1005.4,84
1,768,곡성,2022-08-01 02:00,25.9,185.1,2.3,1.0,994.0,1005.3,93
2,768,곡성,2022-08-01 03:00,25.9,175.3,2.8,3.0,994.1,1005.4,94
3,768,곡성,2022-08-01 04:00,25.8,185.6,3.4,3.0,994.6,1005.9,93
4,768,곡성,2022-08-01 05:00,25.6,195.1,2.8,1.0,994.7,1006.1,93
5,768,곡성,2022-08-01 06:00,25.1,152.9,0.5,1.5,994.9,1006.3,97
6,768,곡성,2022-08-01 07:00,26.0,176.3,3.2,6.5,995.1,1006.4,92
7,768,곡성,2022-08-01 08:00,25.7,182.6,1.0,3.0,995.6,1007.0,97
8,768,곡성,2022-08-01 09:00,28.0,168.3,4.9,0.0,995.2,1006.4,81
9,768,곡성,2022-08-01 10:00,27.8,168.8,4.0,0.0,995.1,1006.3,83
10,768,곡성,2022-08-01 11:00,27.5,178.6,3.1,0.0,995.1,1006.4,84
11,768,곡성,2022-08-01 12:00,27.0,147.1,3.9,0.5,994.4,1005.7,86
12,768,곡성,2022-08-01 13:00,27.8,152.2,3.6,0.0,993.5,1004.7,83
13,768,곡성,2022-08-01 14:00,28.3,154.3,2.4,0.0,993.0,1004.2,82
14,768,곡성,2022-08-01 15:00,27.7,158.6,3.9,0.0,992.6,1003.8,87
15,768,곡성,2022-08-01 16:00,26.7,131.9,3.4,0.5,992.5,1003.8,91
16,768,곡성,2022-08-01 17:00,27.2,168.7,1.8,0.5,992.2,1003.4,92
17,768,곡성,2022-08-01 18:00,26.7,190.7,2.6,0.5,992.7,1004.0,95
18,768,곡성,2022-08-01 19:00,26.4,0.0,0.1,2.5,993.5,1004.8,97
19,768,곡성,2022-08-01 20:00,26.1,200.4,1.4,1.5,994.5,1005.8,98
20,768,곡성,2022-08-01 21:00,25.8,194.9,1.3,1.0,995.7,1007.1,96
21,768,곡성,2022-08-01 22:00,25.3,188.0,1.3,0.0,996.5,1007.9,96
22,768,곡성,2022-08-01 23:00,25.1,200.5,1.0,0.0,996.8,1008.2,98
23,768,곡성,2022-08-02 00:00,25.0,318.5,1.2,0.0,996.9,1008.3,98
24,768,곡성,2022-08-02 01:00,24.9,302.0,0.7,0.0,996.8,1008.2,98
25,768,곡성,2022-08-02 02:00,25.0,292.9,0.8,0.0,997.3,1008.7,98
26,768,곡성,2022-08-02 03:00,25.1,0.0,0.4,0.0,997.7,1009.1,99
27,768,곡성,2022-08-02 04:00,25.1,224.1,1.3,0.5,998.0,1009.4,99
28,768,곡성,2022-08-02 05:00,25.0,0.0,0.0,0.0,998.0,1009.4,99
29,768,곡성,2022-08-02 06:00,25.0,0.0,0.4,0.0,998.4,1009.8,99
30,768,곡성,2022-08-02 07:00,25.7,0.0,0.2,0.0,998.7,1010.1,99
31,768,곡성,2022-08-02 08:00,26.8,0.0,0.4,0.0,999.2,1010.5,97
32,768,곡성,2022-08-02 09:00,27.5,176.1,2.2,0.0,999.6,1010.9,88
33,768,곡성,2022-08-02 10:00,28.4,153.0,2.2,0.0,999.9,1011.2,86
34,768,곡성,2022-08-02 11:00,29.0,170.0,2.9,0.0,999.7,1010.9,81
35,768,곡성,2022-08-02 12:00,28.9,148.6,3.1,0.0,999.8,1011.0,81
36,768,곡성,2022-08-02 13:00,30.2,179.7,3.3,0.0,999.5,1010.7,74
37,768,곡성,2022-08-02 14:00,30.9,182.3,4.5,0.0,999.1,1010.3,69
38,768,곡성,2022-08-02 15:00,31.3,173.2,2.9,0.0,999.1,1010.3,66
39,768,곡성,2022-08-02 16:00,31.1,0.0,0.4,0.0,999.1,1010.3,68
40,768,곡성,2022-08-02 17:00,30.6,189.4,2.0,0.0,999.0,1010.2,73
41,768,곡성,2022-08-02 18:00,29.8,276.0,0.8,0.0,999.2,1010.4,77
42,768,곡성,2022-08-02 19:00,28.4,0.0,0.4,0.0,999.6,1010.9,85
43,768,곡성,2022-08-02 20:00,26.4,0.0,0.3,0.0,999.9,1011.3,92
44,768,곡성,2022-08-02 21:00,26.0,302.0,0.7,0.0,1000.5,1011.9,94
45,768,곡성,2022-08-02 22:00,26.5,183.4,0.5,0.0,1001.0,1012.4,94
46,768,곡성,2022-08-02 23:00,25.7,190.7,0.5,0.0,1001.0,1012.4,97
47,768,곡성,2022-08-03 00:00,25.2,0.0,0.3,0.0,1001.2,1012.7,98
48,768,곡성,2022-08-03 01:00,24.9,218.4,0.5,0.0,1001.1,1012.6,99
49,768,곡성,2022-08-03 02:00,25.3,0.0,0.3,0.0,1000.9,1012.3,98
50,768,곡성,2022-08-03 03:00,24.8,0.0,0.2,0.0,1001.0,1012.5,99
51,768,곡성,2022-08-03 04:00,24.5,0.0,0.4,0.0,1000.9,1012.3,99
52,768,곡성,2022-08-03 05:00,24.1,0.0,0.1,0.0,1000.9,1012.3,99
53,768,곡성,2022-08-03 06:00,24.3,207.8,0.8,0.0,1001.3,1012.7,99
54,768,곡성,2022-08-03 07:00,25.7,162.7,0.7,0.0,1001.5,1012.9,97
55,768,곡성,2022-08-03 08:00,28.1,148.1,1.3,0.0,1001.6,1012.9,83
56,768,곡성,2022-08-03 09:00,29.5,172.2,1.8,0.0,1001.7,1012.9,77
57,768,곡성,2022-08-03 10:00,29.7,27.9,1.4,0.0,1001.5,1012.7,79
58,768,곡성,2022-08-03 11:00,30.7,332.0,0.7,0.0,1001.0,1012.2,74
59,768,곡성,2022-08-03 12:00,29.7,176.3,1.6,0.0,1000.6,1011.8,77
60,768,곡성,2022-08-03 13:00,28.7,185.5,2.4,3.5,1000.6,1011.9,90
61,768,곡성,2022-08-03 14:00,30.6,181.3,2.1,0.0,1000.0,1011.2,79
62,768,곡성,2022-08-03 15:00,28.6,320.5,0.9,3.5,999.8,1011.1,95
63,768,곡성,2022-08-03 16:00,30.3,328.7,1.7,0.0,999.5,1010.7,78
64,768,곡성,2022-08-03 17:00,28.0,159.4,1.9,6.5,999.7,1011.0,93
65,768,곡성,2022-08-03 18:00,27.2,184.4,2.0,0.0,999.4,1010.7,93
66,768,곡성,2022-08-03 19:00,26.8,195.7,1.9,0.0,999.2,1010.5,95
67,768,곡성,2022-08-03 20:00,26.2,201.8,0.9,1.5,999.6,1011.0,98
68,768,곡성,2022-08-03 21:00,26.0,0.0,0.4,0.5,999.8,1011.2,98
69,768,곡성,2022-08-03 22:00,25.9,0.0,0.2,0.0,1000.0,1011.4,99
70,768,곡성,2022-08-03 23:00,25.6,0.0,0.4,0.5,1000.3,1011.7,98
71,768,곡성,2022-08-04 00:00,25.2,0.0,0.2,0.0,1000.4,1011.8,99
72,768,곡성,2022-08-04 01:00,24.9,224.7,0.7,0.0,1000.3,1011.8,99
73,768,곡성,2022-08-04 02:00,25.0,208.1,0.6,0.0,1000.0,1011.4,99
74,768,곡성,2022-08-04 03:00,25.0,0.0,0.1,0.0,1000.2,1011.6,99
75,768,곡성,2022-08-04 04:00,25.0,0.0,0.1,0.0,1000.3,1011.8,99
76,768,곡성,2022-08-04 05:00,24.8,0.0,0.2,0.0,1000.5,1012.0,99
77,768,곡성,2022-08-04 06:00,25.0,0.0,0.3,0.0,1000.8,1012.3,99
78,768,곡성,2022-08-04 07:00,25.2,0.0,0.0,0.0,1001.0,1012.4,99
79,768,곡성,2022-08-04 08:00,26.5,0.0,0.1,0.0,1001.2,1012.6,97
80,768,곡성,2022-08-04 09:00,27.8,144.7,0.7,0.5,1000.9,1012.2,91
81,768,곡성,2022-08-04 10:00,29.4,84.1,1.3,0.0,1000.7,1011.9,81
82,768,곡성,2022-08-04 11:00,30.2,172.1,1.3,0.0,1000.5,1011.7,73
83,768,곡성,2022-08-04 12:00,31.4,314.9,1.3,0.0,999.8,1011.0,67
84,768,곡성,2022-08-04 13:00,31.6,224.3,0.7,0.0,999.3,1010.5,69
85,768,곡성,2022-08-04 14:00,31.9,228.5,0.9,0.0,998.7,1009.9,70
86,768,곡성,2022-08-04 15:00,32.3,270.0,1.3,0.0,998.4,1009.5,67
87,768,곡성,2022-08-04 16:00,31.6,313.7,1.8,0.0,998.2,1009.4,68
88,768,곡성,2022-08-04 17:00,31.7,232.9,1.3,0.0,997.7,1008.9,68
89,768,곡성,2022-08-04 18:00,31.6,211.2,0.7,0.0,997.4,1008.6,67
90,768,곡성,2022-08-04 19:00,28.6,301.6,0.7,0.0,997.6,1008.8,86
91,768,곡성,2022-08-04 20:00,28.3,270.6,1.2,0.0,997.8,1009.0,85
92,768,곡성,2022-08-04 21:00,27.0,292.9,0.7,0.0,998.3,1009.6,92
93,768,곡성,2022-08-04 22:00,26.5,331.7,0.6,0.0,998.5,1009.9,94
94,768,곡성,2022-08-04 23:00,26.0,321.5,0.5,0.0,998.4,1009.8,96
95,768,곡성,2022-08-05 00:00,26.0,0.0,0.3,0.0,998.2,1009.6,97
96,768,곡성,2022-08-05 01:00,25.3,0.0,0.1,0.0,997.9,1009.3,98
97,768,곡성,2022-08-05 02:00,24.5,0.0,0.2,0.0,997.9,1009.2,98
98,768,곡성,2022-08-05 03:00,24.3,0.0,0.0,0.0,997.9,1009.3,98
99,768,곡성,2022-08-05 04:00,24.3,0.0,0.1,0.0,997.8,1009.2,98
100,768,곡성,2022-08-05 05:00,24.7,317.3,0.6,0.0,997.8,1009.1,97
101,768,곡성,2022-08-05 06:00,24.8,149.6,0.5,0.0,998.0,1009.4,97
102,768,곡성,2022-08-05 07:00,25.1,0.0,0.3,0.0,998.1,1009.5,97
103,768,곡성,2022-08-05 08:00,26.5,0.0,0.3,0.0,997.8,1009.1,90
104,768,곡성,2022-08-05 09:00,26.4,0.0,0.1,0.0,997.7,1009.0,94
105,768,곡성,2022-08-05 10:00,26.9,6.1,1.4,0.0,997.7,1009.0,94
106,768,곡성,2022-08-05 11:00,27.4,39.0,0.6,2.0,997.5,1008.8,94
107,768,곡성,2022-08-05 12:00,29.2,194.1,0.5,0.0,996.8,1008.0,88
108,768,곡성,2022-08-05 13:00,29.9,34.8,1.9,0.0,996.1,1007.3,82
109,768,곡성,2022-08-05 14:00,30.8,51.3,1.8,0.0,995.5,1006.7,79
110,768,곡성,2022-08-05 15:00,31.4,95.6,0.8,0.0,994.8,1005.9,72
111,768,곡성,2022-08-05 16:00,32.4,174.0,2.5,0.0,994.5,1005.6,69
112,768,곡성,2022-08-05 17:00,32.3,249.2,1.7,0.0,994.1,1005.2,70
113,768,곡성,2022-08-05 18:00,31.0,232.9,1.2,0.0,994.0,1005.1,76
114,768,곡성,2022-08-05 19:00,29.1,246.8,1.3,0.0,994.3,1005.5,81
115,768,곡성,2022-08-05 20:00,26.9,0.0,0.3,0.0,995.0,1006.3,93
116,768,곡성,2022-08-05 21:00,26.9,206.6,1.0,0.0,995.4,1006.7,92
117,768,곡성,2022-08-05 22:00,26.0,0.0,0.3,0.0,995.7,1007.0,96
118,768,곡성,2022-08-05 23:00,26.2,0.0,0.3,0.0,995.7,1007.0,96
119,768,곡성,2022-08-06 00:00,26.2,305.0,0.5,0.0,995.9,1007.2,96
120,768,곡성,2022-08-06 01:00,26.1,327.6,0.7,0.0,996.0,1007.3,96
121,768,곡성,2022-08-06 02:00,26.1,0.0,0.4,0.0,995.8,1007.1,97
122,768,곡성,2022-08-06 03:00,26.3,224.8,0.7,0.0,995.8,1007.1,96
123,768,곡성,2022-08-06 04:00,26.0,242.9,0.5,0.0,995.9,1007.2,97
124,768,곡성,2022-08-06 05:00,25.4,0.0,0.2,0.0,995.7,1007.1,98
125,768,곡성,2022-08-06 06:00,24.8,343.7,0.6,0.0,996.4,1007.8,98
126,768,곡성,2022-08-06 07:00,25.9,0.0,0.2,0.0,996.8,1008.2,96
127,768,곡성,2022-08-06 08:00,27.4,141.4,1.0,0.0,996.8,1008.1,89
128,768,곡성,2022-08-06 09:00,29.4,63.2,1.6,0.0,996.5,1007.7,81
129,768,곡성,2022-08-06 10:00,29.8,43.0,1.6,0.0,996.4,1007.6,79
130,768,곡성,2022-08-06 11:00,31.3,46.1,2.4,0.0,996.3,1007.5,73
131,768,곡성,2022-08-06 12:00,31.1,3.8,1.4,0.0,995.7,1006.9,71
132,768,곡성,2022-08-06 13:00,32.4,160.6,1.1,0.0,995.7,1006.8,69
133,768,곡성,2022-08-06 14:00,33.4,52.7,1.1,0.0,995.2,1006.3,66
134,768,곡성,2022-08-06 15:00,34.4,59.3,1.3,0.0,994.6,1005.6,59
135,768,곡성,2022-08-06 16:00,34.6,265.1,1.3,0.0,994.4,1005.4,59
136,768,곡성,2022-08-06 17:00,32.5,338.0,1.3,0.0,994.4,1005.5,69
137,768,곡성,2022-08-06 18:00,26.4,298.9,4.3,11.0,995.2,1006.5,84
138,768,곡성,2022-08-06 19:00,26.4,239.0,0.7,1.0,994.8,1006.1,97
139,768,곡성,2022-08-06 20:00,25.9,0.0,0.2,0.0,995.3,1006.6,98
140,768,곡성,2022-08-06 21:00,25.6,0.0,0.4,0.0,996.0,1007.4,99
141,768,곡성,2022-08-06 22:00,25.8,264.0,0.7,0.0,996.7,1008.1,99
142,768,곡성,2022-08-06 23:00,25.6,0.0,0.3,0.0,996.6,1008.0,99
143,768,곡성,2022-08-07 00:00,25.5,228.1,0.5,0.0,996.8,1008.2,99
144,768,곡성,2022-08-07 01:00,25.5,0.0,0.4,0.0,997.0,1008.4,99
145,768,곡성,2022-08-07 02:00,25.5,0.0,0.4,0.0,997.1,1008.5,99
146,768,곡성,2022-08-07 03:00,25.6,0.0,0.2,0.0,997.3,1008.7,100
147,768,곡성,2022-08-07 04:00,25.3,0.0,0.0,0.0,996.9,1008.3,100
148,768,곡성,2022-08-07 05:00,25.4,0.0,0.0,0.0,996.8,1008.2,100
149,768,곡성,2022-08-07 06:00,25.3,0.0,0.2,0.0,997.2,1008.6,100
150,768,곡성,2022-08-07 07:00,26.0,179.6,1.1,0.0,997.6,1009.0,100
151,768,곡성,2022-08-07 08:00,28.0,75.6,1.0,0.0,997.4,1008.7,95
152,768,곡성,2022-08-07 09:00,29.8,128.3,0.8,0.0,997.1,1008.3,80
153,768,곡성,2022-08-07 10:00,30.6,184.3,1.9,0.0,997.1,1008.3,76
154,768,곡성,2022-08-07 11:00,32.2,197.5,2.5,0.0,996.8,1007.9,71
155,768,곡성,2022-08-07 12:00,33.1,210.7,2.1,0.0,996.6,1007.7,68
156,768,곡성,2022-08-07 13:00,33.7,199.3,1.6,0.0,996.3,1007.4,64
157,768,곡성,2022-08-07 14:00,34.2,190.3,3.0,0.0,995.7,1006.7,62
158,768,곡성,2022-08-07 15:00,33.5,207.9,2.2,0.0,995.3,1006.4,65
159,768,곡성,2022-08-07 16:00,24.9,149.8,2.3,15.5,996.6,1008.0,95
160,768,곡성,2022-08-07 17:00,26.7,335.3,1.9,0.0,996.7,1008.0,89
161,768,곡성,2022-08-07 18:00,26.1,307.2,0.7,0.0,996.4,1007.7,92
162,768,곡성,2022-08-07 19:00,25.8,337.0,0.8,0.0,996.8,1008.2,94
163,768,곡성,2022-08-07 20:00,25.1,350.5,1.1,0.0,997.0,1008.4,95
164,768,곡성,2022-08-07 21:00,25.1,0.0,0.2,0.0,997.4,1008.8,98
165,768,곡성,2022-08-07 22:00,25.2,0.0,0.3,0.0,997.6,1009.0,99
166,768,곡성,2022-08-07 23:00,25.2,0.0,0.2,0.0,997.6,1009.0,99
167,768,곡성,2022-08-08 00:00,25.2,230.8,1.0,0.0,997.9,1009.3,99
168,768,곡성,2022-08-08 01:00,25.2,0.0,0.2,0.0,997.8,1009.2,98
169,768,곡성,2022-08-08 02:00,24.9,0.0,0.2,0.0,997.9,1009.3,99
170,768,곡성,2022-08-08 03:00,24.8,223.6,1.3,0.0,997.8,1009.2,99
171,768,곡성,2022-08-08 04:00,24.9,231.9,0.5,0.0,997.6,1009.0,97
172,768,곡성,2022-08-08 05:00,24.6,299.5,0.8,0.0,998.1,1009.4,98
173,768,곡성,2022-08-08 06:00,24.4,204.4,0.8,0.0,998.2,1009.6,99
174,768,곡성,2022-08-08 07:00,25.6,0.0,0.3,0.0,999.0,1010.4,98
175,768,곡성,2022-08-08 08:00,27.6,174.3,0.9,0.0,998.7,1010.0,88
176,768,곡성,2022-08-08 09:00,28.8,168.6,2.7,0.0,998.9,1010.1,78
177,768,곡성,2022-08-08 10:00,29.9,180.7,3.9,0.0,998.5,1009.7,73
178,768,곡성,2022-08-08 11:00,30.7,176.5,3.2,0.0,998.4,1009.6,69
179,768,곡성,2022-08-08 12:00,31.8,182.2,4.3,0.0,997.9,1009.1,64
180,768,곡성,2022-08-08 13:00,32.0,187.2,4.5,0.0,997.8,1008.9,63
181,768,곡성,2022-08-08 14:00,32.2,185.8,3.6,0.0,997.5,1008.6,63
182,768,곡성,2022-08-08 15:00,31.7,193.9,3.3,0.0,997.5,1008.7,65
183,768,곡성,2022-08-08 16:00,31.2,239.8,2.3,0.0,997.5,1008.7,62
184,768,곡성,2022-08-08 17:00,30.4,206.2,1.9,0.0,997.7,1008.9,68
185,768,곡성,2022-08-08 18:00,29.2,210.3,2.5,0.0,997.5,1008.7,71
186,768,곡성,2022-08-08 19:00,27.5,204.1,1.7,0.0,997.5,1008.8,80
187,768,곡성,2022-08-08 20:00,27.4,211.0,2.4,0.0,998.2,1009.5,79
188,768,곡성,2022-08-08 21:00,25.9,0.0,0.1,0.0,998.8,1010.2,87
189,768,곡성,2022-08-08 22:00,25.1,0.0,0.4,0.0,999.0,1010.4,92
190,768,곡성,2022-08-08 23:00,24.7,0.0,0.3,0.0,998.7,1010.0,94
191,768,곡성,2022-08-09 00:00,25.3,198.9,1.0,0.0,998.7,1010.1,90
192,768,곡성,2022-08-09 01:00,24.6,261.0,0.6,0.0,998.8,1010.2,93
193,768,곡성,2022-08-09 02:00,24.1,175.1,0.5,0.0,998.5,1009.9,96
194,768,곡성,2022-08-09 03:00,24.1,0.0,0.4,0.0,998.6,1010.0,97
195,768,곡성,2022-08-09 04:00,24.6,0.0,0.3,0.0,998.9,1010.3,95
