지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
768,곡성,2023-01-01 00:00,-4.6,0,0,0,1019.7,1032.8,95
768,곡성,2023-01-01 01:00,-4.9,0,.3,0,1019.4,1032.5,96
768,곡성,2023-01-01 02:00,-5.1,173.8,.7,0,1019.3,1032.4,97
768,곡성,2023-01-01 03:00,-5.5,0,.3,0,1019.3,1032.4,97
768,곡성,2023-01-01 04:00,-6.1,194.4,1.4,0,1018.8,1031.9,97
768,곡성,2023-01-01 05:00,-6.2,19.4,.6,0,1018.5,1031.6,97
768,곡성,2023-01-01 06:00,-6.6,0,0,0,1018.7,1031.8,97
768,곡성,2023-01-01 07:00,-6.6,297.8,.6,0,1019.5,1032.7,97
768,곡성,2023-01-01 08:00,-6.9,0,.1,0,1019.7,1032.9,96
768,곡성,2023-01-01 09:00,-5.5,0,.2,0,1020.1,1033.2,97
768,곡성,2023-01-01 10:00,-3.9,0,0,0,1020.3,1033.3,95
768,곡성,2023-01-01 11:00,-1.7,68.1,.7,0,1020,1032.9,89
768,곡성,2023-01-01 12:00,.6,149.2,.7,0,1019.2,1032,78
768,곡성,2023-01-01 13:00,2.3,45.3,1.5,0,1018.2,1030.9,72
768,곡성,2023-01-01 14:00,4.9,141.9,.9,0,1017.7,1030.3,64
768,곡성,2023-01-01 15:00,6,5.4,2.7,0,1017,1029.5,56
768,곡성,2023-01-01 16:00,5,38.2,1.6,0,1017.2,1029.8,58
768,곡성,2023-01-01 17:00,2.4,283.6,1.2,0,1017.3,1030,67
768,곡성,2023-01-01 18:00,2.9,278.1,3.6,0,1017.8,1030.5,62
768,곡성,2023-01-01 19:00,2.4,293.6,3.5,0,1018.6,1031.3,56
768,곡성,2023-01-01 20:00,1.1,31.3,2.8,0,1019,1031.8,65
768,곡성,2023-01-01 21:00,-.4,328.8,1.6,0,1019.4,1032.2,70
768,곡성,2023-01-01 22:00,-1.1,17.3,.8,0,1020,1032.9,72
768,곡성,2023-01-01 23:00,-2.2,0,.2,0,1020.3,1033.3,80
768,곡성,2023-01-02 00:00,-1.8,25.1,1.8,0,1020.3,1033.2,67
768,곡성,2023-01-02 01:00,-2.7,331.9,1.6,0,1020.1,1033.1,66
768,곡성,2023-01-02 02:00,-3.4,0,.2,0,1020.2,1033.2,70
768,곡성,2023-01-02 03:00,-2,77,2.3,0,1020.4,1033.3,58
768,곡성,2023-01-02 04:00,-1.2,334.3,2.3,0,1020.3,1033.2,53
768,곡성,2023-01-02 05:00,-1.3,308.7,2.4,0,1020.2,1033.1,55
768,곡성,2023-01-02 06:00,-1.7,313.9,3.6,0,1020.4,1033.3,55
768,곡성,2023-01-02 07:00,-3.3,54.1,2.8,0,1020.7,1033.7,64
768,곡성,2023-01-02 08:00,-3.2,320.6,2.5,0,1021.1,1034.1,55
768,곡성,2023-01-02 09:00,-2.4,5.6,1.9,0,1021.3,1034.3,53
768,곡성,2023-01-02 10:00,-1.5,35.8,3.6,0,1021.7,1034.6,50
768,곡성,2023-01-02 11:00,-.5,35,3.9,0,1020.9,1033.8,46
768,곡성,2023-01-02 12:00,1.2,29,2.9,0,1020.2,1033,37
768,곡성,2023-01-02 13:00,1.9,13.6,2.7,0,1018.6,1031.3,31
768,곡성,2023-01-02 14:00,2.6,290.3,3.4,0,1018.2,1030.9,29
768,곡성,2023-01-02 15:00,2.5,344.8,2.9,0,1017.5,1030.2,32
768,곡성,2023-01-02 16:00,1.9,308,1.8,0,1017.7,1030.4,38
