지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
0,762.0,강진면,2021-01-01 00:00,-5.4,248.4,1.7,0.0,1004.9,1026.2,80.0
1,762.0,강진면,2021-01-01 01:00,-7.1,274.6,1.1,0.0,1004.7,1026.2,89.0
2,762.0,강진면,2021-01-01 02:00,-6.9,299.5,1.4,0.0,1004.5,1025.9,88.0
3,762.0,강진면,2021-01-01 03:00,-7.3,0.0,0.0,0.0,1004.9,1026.4,93.0
4,762.0,강진면,2021-01-01 04:00,-8.5,0.0,0.2,0.0,1005.1,1026.7,94.0
5,762.0,강진면,2021-01-01 05:00,-9.1,79.0,0.6,0.0,1004.7,1026.3,94.0
6,762.0,강진면,2021-01-01 06:00,-10.0,0.0,0.2,0.0,1004.7,1026.4,94.0
7,762.0,강진면,2021-01-01 07:00,-10.0,0.0,0.1,0.0,1005.0,1026.7,92.0
8,762.0,강진면,2021-01-01 08:00,-9.9,91.5,1.2,0.0,1005.1,1026.8,93.0
9,762.0,강진면,2021-01-01 09:00,-9.6,87.7,1.9,0.0,1005.4,1027.1,93.0
10,762.0,강진면,2021-01-01 10:00,-6.9,102.9,2.3,0.0,1005.3,1026.7,92.0
11,762.0,강진면,2021-01-01 11:00,-3.7,104.7,2.2,0.0,1005.2,1026.4,80.0
12,762.0,강진면,2021-01-01 12:00,-2.3,95.6,2.7,0.0,1004.2,1025.3,82.0
13,762.0,강진면,2021-01-01 13:00,0.4,103.4,2.7,1.0,1003.3,1024.1,71.0
14,762.0,강진면,2021-01-01 14:00,0.9,240.3,3.0,0.5,1002.9,1023.7,70.0
15,762.0,강진면,2021-01-01 15:00,1.6,67.8,2.2,0.0,1002.5,1023.2,62.0
16,762.0,강진면,2021-01-01 16:00,1.4,262.3,3.9,0.5,1002.7,1023.4,61.0
17,762.0,강진면,2021-01-01 17:00,1.2,252.0,3.2,0.0,1002.6,1023.3,57.0
18,762.0,강진면,2021-01-01 18:00,-0.1,277.5,1.1,0.0,1002.7,1023.6,72.0
19,762.0,강진면,2021-01-01 19:00,-1.2,0.0,0.1,0.0,1002.9,1023.8,80.0
20,762.0,강진면,2021-01-01 20:00,-2.3,0.0,0.1,0.0,1003.2,1024.2,86.0
21,762.0,강진면,2021-01-01 21:00,-3.4,0.0,0.3,0.0,1003.2,1024.3,93.0
22,762.0,강진면,2021-01-01 22:00,-2.7,283.2,0.7,0.0,1003.4,1024.5,92.0
23,762.0,강진면,2021-01-01 23:00,-2.7,89.9,0.9,0.0,1002.9,1024.0,93.0
24,762.0,강진면,2021-01-02 00:00,-2.6,94.8,0.6,0.0,1002.9,1023.9,93.0
25,762.0,강진면,2021-01-02 01:00,-2.6,0.0,0.2,0.0,1002.7,1023.7,95.0
26,762.0,강진면,2021-01-02 02:00,-2.7,0.0,0.3,0.0,1003.2,1024.3,96.0
27,762.0,강진면,2021-01-02 03:00,-2.5,0.0,0.0,0.0,1003.2,1024.2,97.0
28,762.0,강진면,2021-01-02 04:00,-2.5,105.9,0.7,0.0,1003.2,1024.2,97.0
29,762.0,강진면,2021-01-02 05:00,-2.2,0.0,0.2,0.0,1003.2,1024.2,96.0
30,762.0,강진면,2021-01-02 06:00,-1.9,0.0,0.3,0.0,1003.7,1024.7,95.0
31,762.0,강진면,2021-01-02 07:00,-1.8,244.0,1.5,0.0,1004.4,1025.4,83.0
32,762.0,강진면,2021-01-02 08:00,-3.4,333.9,0.7,0.0,1004.9,1026.1,89.0
33,762.0,강진면,2021-01-02 09:00,-3.0,264.4,1.9,0.0,1005.6,1026.7,85.0
34,762.0,강진면,2021-01-02 10:00,-1.1,271.8,3.5,0.0,1006.4,1027.4,61.0
35,762.0,강진면,2021-01-02 11:00,-0.8,278.3,4.2,0.0,1006.6,1027.6,47.0
36,762.0,강진면,2021-01-02 12:00,0.3,204.1,2.1,0.0,1006.4,1027.3,45.0
37,762.0,강진면,2021-01-02 13:00,0.8,265.5,3.8,0.0,1006.1,1026.9,44.0
38,762.0,강진면,2021-01-02 14:00,0.2,261.9,5.4,0.0,1006.3,1027.2,43.0
39,762.0,강진면,2021-01-02 15:00,0.3,261.9,4.8,0.0,1005.8,1026.7,39.0
40,762.0,강진면,2021-01-02 16:00,-0.6,264.4,5.3,0.0,1006.1,1027.0,44.0
41,762.0,강진면,2021-01-02 17:00,-1.3,277.5,4.3,0.0,1007.2,1028.2,50.0
42,762.0,강진면,2021-01-02 18:00,-2.2,266.8,3.5,0.0,1008.2,1029.3,55.0
43,762.0,강진면,2021-01-02 19:00,-2.9,253.8,3.2,0.0,1008.6,1029.8,60.0
44,762.0,강진면,2021-01-02 20:00,-4.0,235.9,2.0,0.0,1008.7,1030.0,65.0
45,762.0,강진면,2021-01-02 21:00,-3.7,230.7,1.7,0.0,1008.1,1029.4,59.0
46,762.0,강진면,2021-01-02 22:00,-4.8,288.7,1.3,0.0,1008.0,1029.3,64.0
47,762.0,강진면,2021-01-02 23:00,-5.1,279.0,1.7,0.0,1008.8,1030.2,66.0
48,762.0,강진면,2021-01-03 00:00,-5.8,281.7,1.4,0.0,1009.1,1030.5,73.0
49,762.0,강진면,2021-01-03 01:00,-6.3,301.9,1.2,0.0,1010.2,1031.7,79.0
50,762.0,강진면,2021-01-03 02:00,-6.6,0.0,0.2,0.0,1010.7,1032.2,81.0
51,762.0,강진면,2021-01-03 03:00,-7.2,0.0,0.0,0.0,1011.0,1032.6,90.0
52,762.0,강진면,2021-01-03 04:00,-6.1,287.1,1.0,0.0,1010.9,1032.4,83.0
53,762.0,강진면,2021-01-03 05:00,-5.2,265.0,1.8,0.0,1011.3,1032.8,72.0
54,762.0,강진면,2021-01-03 06:00,-4.9,249.1,1.1,0.0,1011.8,1033.2,69.0
55,762.0,강진면,2021-01-03 07:00,-4.8,256.7,1.7,0.0,1011.8,1033.2,61.0
56,762.0,강진면,2021-01-03 08:00,-5.1,284.9,2.5,0.0,1011.4,1032.8,59.0
57,762.0,강진면,2021-01-03 09:00,-4.6,257.8,2.4,0.0,1012.0,1033.4,58.0
58,762.0,강진면,2021-01-03 10:00,-2.1,273.5,3.8,0.0,1012.0,1033.2,50.0
59,762.0,강진면,2021-01-03 11:00,-0.7,270.9,4.5,0.0,1011.6,1032.7,51.0
60,762.0,강진면,2021-01-03 12:00,0.0,272.4,4.4,0.0,1011.1,1032.1,49.0
61,762.0,강진면,2021-01-03 13:00,1.6,261.5,2.8,0.0,1010.4,1031.3,47.0
62,762.0,강진면,2021-01-03 14:00,0.8,277.8,4.4,0.0,1009.9,1030.8,50.0
63,762.0,강진면,2021-01-03 15:00,0.4,267.7,3.8,0.0,1010.4,1031.4,53.0
64,762.0,강진면,2021-01-03 16:00,0.1,263.7,2.9,0.0,1010.3,1031.3,56.0
65,762.0,강진면,2021-01-03 17:00,-0.2,229.5,1.1,0.0,1009.8,1030.8,58.0
66,762.0,강진면,2021-01-03 18:00,-0.7,231.7,1.5,0.0,1010.4,1031.4,61.0
67,762.0,강진면,2021-01-03 19:00,-1.4,290.1,1.0,0.0,1010.3,1031.4,66.0
