일시,수위
30,2023-08-16 06:00,0.69
31,2023-08-16 07:00,0.69
32,2023-08-16 08:00,0.69
33,2023-08-16 09:00,0.69
34,2023-08-16 10:00,0.7
35,2023-08-16 11:00,0.69
36,2023-08-16 12:00,0.69
37,2023-08-16 13:00,0.68
38,2023-08-16 14:00,0.69
39,2023-08-16 15:00,0.69
40,2023-08-16 16:00,0.68
41,2023-08-16 17:00,0.69
42,2023-08-16 18:00,0.68
43,2023-08-16 19:00,0.68
44,2023-08-16 20:00,0.68
45,2023-08-16 21:00,0.68
46,2023-08-16 22:00,0.68
47,2023-08-16 23:00,0.68
48,2023-08-17 00:00,0.69
49,2023-08-17 01:00,0.68
50,2023-08-17 02:00,0.68
51,2023-08-17 03:00,0.68
52,2023-08-17 04:00,0.68
53,2023-08-17 05:00,0.68
54,2023-08-17 06:00,0.68
