ymdh,wl
2022060101,0.57
2022060102,0.58
2022060103,0.58
2022060104,0.58
2022060105,0.58
2022060106,0.58
2022060107,0.57
2022060108,0.58
2022060109,0.57
2022060110,0.58
2022060111,0.58
2022060112,0.57
2022060113,0.58
2022060114,0.57
2022060115,0.57
2022060116,0.58
2022060117,0.57
2022060118,0.57
2022060119,0.57
2022060120,0.57
2022060121,0.57
2022060122,0.57
2022060123,0.57
2022060124,0.57
2022060201,0.57
2022060202,0.57
2022060203,0.57
2022060204,0.57
2022060205,0.57
2022060206,0.57
2022060207,0.57
2022060208,0.57
2022060209,0.57
2022060210,0.57
2022060211,0.57
2022060212,0.57
2022060213,0.57
2022060214,0.57
2022060215,0.57
2022060216,0.57
2022060217,0.57
2022060218,0.57
2022060219,0.57
2022060220,0.57
2022060221,0.57
2022060222,0.57
2022060223,0.57
2022060224,0.57
2022060301,0.57
2022060302,0.57
2022060303,0.57
2022060304,0.57
2022060305,0.57
2022060306,0.57
2022060307,0.57
2022060308,0.57
2022060309,0.57
2022060310,0.57
2022060311,0.57
2022060312,0.57
2022060313,0.57
2022060314,0.57
2022060315,0.57
2022060316,0.57
2022060317,0.57
2022060318,0.57
2022060319,0.57
2022060320,0.57
2022060321,0.57
2022060322,0.57
2022060323,0.57
2022060324,0.57
2022060401,0.57
2022060402,0.57
2022060403,0.57
2022060404,0.57
2022060405,0.57
2022060406,0.57
2022060407,0.57
2022060408,0.57
2022060409,0.57
2022060410,0.57
2022060411,0.57
2022060412,0.57
2022060413,0.57
2022060414,0.57
2022060415,0.57
2022060416,0.57
2022060417,0.57
2022060418,0.56
2022060419,0.56
2022060420,0.56
2022060421,0.56
2022060422,0.56
2022060423,0.56
2022060424,0.57
2022060501,0.57
2022060502,0.57
2022060503,0.57
2022060504,0.57
2022060505,0.57
2022060506,0.57
2022060507,0.57
2022060508,0.57
2022060509,0.58
2022060510,0.58
2022060511,0.58
2022060512,0.59
2022060513,0.59
2022060514,0.59
2022060515,0.59
2022060516,0.6
